,b1962,b2099,b2105,b2141,b2142,b2161,b2164,#N/A,b2579,b0010,b0157,b0225,b0283,#N/A,b0513,b0516,b0581,b0709,b0874,b0881,#N/A,b1488,b1627,b1634,b1640,b1706,b1832,b2158,b2374,b2666,b2807,#N/A,b0119,b0130,b0228,b0234,#N/A,b0393,b0483,b0503,b0505,#N/A,b4511,#N/A,#N/A,b0742,b0767,b0769,b0837,b0847,b0867,b0877,b0906,b0917,b0925,#N/A,b0959,b0961,b0964,b1018,b1864,b1959,b1983,b2236,b0082,#N/A,#N/A,b1010,#N/A,b1409,b1537,b1773,#N/A,b2700,#N/A,#N/A,#N/A,b1008,b1034,b1266,b1684,b1765,b1778,b2528,b2738,#N/A,b0773,b1333,b2327,b2840,b0158,b0282,b0780,#N/A,b1315,b1339
0,0.184,0.128,0.151,0.124,0.133,0.139,0.156,0.115,0.115,0.114,0.135,0.12,0.102,0.109,0.153,0.167,0.112,0.119,0.137,0.123,0.157,0.128,0.113,0.146,0.164,0.138,0.122,0.113,0.11,0.112,0.148,0.129,0.129,0.14,0.114,0.113,0.105,0.117,0.125,0.117,0.199,0.153,0.117,0.084,0.108,0.112,0.119,0.12,0.162,0.122,0.119,0.104,0.112,0.103,0.111,0.108,0.149,0.124,0.119,0.111,0.126,0.118,0.105,0.107,0.139,0.083,0.097,0.109,0.17,0.109,0.108,0.12,0.121,0.116,0.098,0.109,0.128,0.111,0.12,0.113,0.157,0.122,0.109,0.111,0.138,0.107,0.115,0.114,0.176,0.173,0.136,0.132,0.142,0.13,0.144,0.124
0.25,0.209,0.136,0.167,0.133,0.136,0.147,0.174,0.121,0.122,0.117,0.143,0.123,0.104,0.111,0.168,0.187,0.123,0.126,0.147,0.127,0.171,0.135,0.121,0.16,0.178,0.148,0.13,0.116,0.113,0.117,0.158,0.138,0.138,0.151,0.12,0.118,0.107,0.122,0.134,0.125,0.22,0.166,0.125,0.085,0.115,0.119,0.127,0.128,0.18,0.129,0.125,0.106,0.118,0.107,0.118,0.114,0.162,0.133,0.128,0.115,0.134,0.126,0.111,0.114,0.146,0.083,0.098,0.114,0.175,0.114,0.115,0.127,0.13,0.124,0.1,0.114,0.138,0.116,0.13,0.12,0.174,0.131,0.116,0.118,0.153,0.111,0.123,0.122,0.201,0.195,0.15,0.147,0.155,0.142,0.159,0.135
0.5,0.256,0.152,0.197,0.151,0.148,0.163,0.212,0.131,0.135,0.127,0.166,0.133,0.111,0.12,0.202,0.226,0.142,0.14,0.17,0.138,0.198,0.149,0.136,0.189,0.211,0.17,0.149,0.124,0.122,0.131,0.181,0.159,0.158,0.176,0.135,0.132,0.113,0.135,0.154,0.143,0.266,0.194,0.143,0.085,0.129,0.131,0.147,0.144,0.22,0.147,0.14,0.113,0.133,0.119,0.133,0.128,0.19,0.152,0.147,0.126,0.152,0.144,0.122,0.127,0.16,0.083,0.102,0.124,0.211,0.126,0.13,0.146,0.148,0.142,0.105,0.126,0.16,0.129,0.152,0.135,0.21,0.152,0.136,0.133,0.182,0.122,0.139,0.136,0.252,0.239,0.178,0.177,0.184,0.165,0.189,0.157
0.75,0.306,0.179,0.243,0.181,0.169,0.19,0.263,0.144,0.154,0.141,0.203,0.148,0.122,0.132,0.249,0.27,0.166,0.161,0.209,0.154,0.235,0.17,0.162,0.226,0.259,0.203,0.18,0.14,0.137,0.151,0.218,0.191,0.191,0.219,0.156,0.154,0.124,0.155,0.188,0.168,0.327,0.233,0.171,0.084,0.152,0.142,0.176,0.171,0.27,0.175,0.164,0.124,0.158,0.138,0.158,0.149,0.233,0.183,0.179,0.145,0.178,0.174,0.141,0.149,0.182,0.083,0.108,0.134,0.245,0.144,0.153,0.174,0.176,0.168,0.115,0.144,0.194,0.147,0.183,0.155,0.255,0.183,0.161,0.153,0.224,0.138,0.165,0.149,0.303,0.288,0.219,0.218,0.228,0.2,0.228,0.188
1,0.346,0.214,0.277,0.216,0.201,0.231,0.309,0.158,0.184,0.16,0.238,0.172,0.139,0.152,0.303,0.316,0.195,0.19,0.248,0.179,0.271,0.199,0.193,0.267,0.311,0.239,0.216,0.163,0.16,0.181,0.256,0.224,0.234,0.262,0.188,0.185,0.14,0.186,0.223,0.205,0.371,0.271,0.204,0.083,0.185,0.154,0.212,0.207,0.317,0.214,0.196,0.142,0.191,0.165,0.191,0.18,0.275,0.222,0.216,0.171,0.218,0.213,0.168,0.181,0.211,0.083,0.118,0.147,0.282,0.17,0.188,0.212,0.218,0.206,0.131,0.17,0.228,0.174,0.221,0.183,0.297,0.225,0.197,0.179,0.262,0.164,0.203,0.162,0.348,0.351,0.252,0.258,0.264,0.235,0.261,0.224
1.25,0.381,0.239,0.336,0.262,0.238,0.255,0.353,0.175,0.217,0.192,0.289,0.207,0.165,0.183,0.342,0.346,0.213,0.218,0.301,0.204,0.299,0.224,0.231,0.298,0.346,0.282,0.26,0.196,0.195,0.212,0.296,0.273,0.267,0.318,0.225,0.218,0.166,0.216,0.27,0.234,0.415,0.31,0.241,0.083,0.215,0.168,0.241,0.243,0.351,0.254,0.226,0.17,0.224,0.201,0.221,0.208,0.309,0.264,0.259,0.208,0.251,0.248,0.197,0.21,0.238,0.083,0.136,0.164,0.305,0.202,0.219,0.241,0.255,0.237,0.153,0.204,0.279,0.207,0.259,0.214,0.326,0.268,0.233,0.212,0.313,0.202,0.237,0.182,0.388,0.385,0.315,0.313,0.316,0.287,0.316,0.261
1.5,0.424,0.303,0.369,0.3,0.272,0.307,0.403,0.19,0.261,0.22,0.316,0.232,0.19,0.215,0.39,0.384,0.228,0.275,0.342,0.24,0.325,0.268,0.278,0.325,0.392,0.311,0.315,0.223,0.23,0.26,0.331,0.307,0.304,0.357,0.277,0.264,0.195,0.261,0.319,0.275,0.461,0.331,0.287,0.083,0.265,0.189,0.287,0.289,0.39,0.312,0.272,0.199,0.272,0.238,0.269,0.255,0.34,0.304,0.3,0.247,0.287,0.291,0.24,0.257,0.278,0.085,0.161,0.188,0.327,0.232,0.272,0.284,0.296,0.287,0.19,0.239,0.309,0.244,0.29,0.251,0.361,0.305,0.285,0.253,0.356,0.235,0.291,0.214,0.431,0.431,0.353,0.354,0.349,0.317,0.343,0.303
1.75,0.469,0.329,0.412,0.332,0.294,0.375,0.463,0.21,0.291,0.274,0.356,0.284,0.239,0.266,0.45,0.426,0.249,0.315,0.397,0.281,0.36,0.326,0.306,0.359,0.454,0.345,0.356,0.267,0.265,0.291,0.375,0.347,0.336,0.415,0.315,0.295,0.246,0.286,0.364,0.303,0.493,0.358,0.314,0.083,0.293,0.218,0.316,0.319,0.441,0.35,0.311,0.247,0.301,0.28,0.296,0.285,0.376,0.342,0.332,0.29,0.318,0.32,0.276,0.284,0.336,0.085,0.194,0.221,0.354,0.263,0.299,0.312,0.335,0.319,0.216,0.293,0.354,0.304,0.317,0.273,0.402,0.339,0.317,0.274,0.409,0.28,0.329,0.253,0.48,0.483,0.411,0.412,0.391,0.348,0.382,0.342
2,0.503,0.361,0.448,0.377,0.322,0.465,0.506,0.243,0.323,0.335,0.406,0.309,0.269,0.351,0.493,0.455,0.257,0.365,0.461,0.352,0.396,0.399,0.351,0.397,0.497,0.386,0.42,0.326,0.293,0.328,0.431,0.406,0.378,0.468,0.365,0.331,0.282,0.318,0.423,0.336,0.528,0.389,0.351,0.086,0.336,0.247,0.358,0.362,0.476,0.412,0.36,0.274,0.333,0.306,0.328,0.32,0.419,0.391,0.375,0.335,0.356,0.359,0.302,0.315,0.408,0.085,0.224,0.254,0.382,0.289,0.333,0.352,0.389,0.357,0.275,0.33,0.423,0.391,0.349,0.3,0.451,0.384,0.371,0.302,0.465,0.319,0.386,0.295,0.537,0.526,0.461,0.471,0.439,0.386,0.421,0.394
2.25,0.534,0.402,0.481,0.432,0.356,0.508,0.558,0.273,0.362,0.377,0.443,0.345,0.315,0.402,0.543,0.488,0.266,0.434,0.507,0.437,0.435,0.487,0.401,0.437,0.545,0.428,0.466,0.345,0.326,0.385,0.474,0.442,0.43,0.514,0.427,0.384,0.328,0.357,0.468,0.37,0.565,0.43,0.392,0.084,0.396,0.282,0.41,0.407,0.513,0.458,0.417,0.308,0.37,0.344,0.364,0.36,0.459,0.45,0.423,0.401,0.404,0.411,0.34,0.35,0.5,0.085,0.258,0.29,0.412,0.321,0.379,0.387,0.446,0.4,0.303,0.394,0.469,0.439,0.384,0.334,0.49,0.431,0.422,0.338,0.51,0.368,0.436,0.359,0.581,0.571,0.509,0.521,0.478,0.431,0.452,0.437
