,b2537,b2745,#N/A,b0394,b0787,#N/A,#N/A,b1119,b1120,#N/A,b1325,b2247,b2517,b2593,b2611,b2739,b0081,#N/A,b0443,b0736,b1517,#N/A,b2271,b0195,b0413,b0866,b1012,#N/A,b1282,b1694,b1798,b1902,b2578,b2597,b2682,b0247,b0257,b0267,b0284,b0285,b4492,b0732,b0905,b1045,b1253,b1440,b1464,b2012,#N/A,#N/A,b2067,#N/A,b2076,b2077,b2086,#N/A,#N/A,b2131,#N/A,b2160,b2173,b2177,b2184,#N/A,b2233,b2251,#N/A,b2254,b2257,b2263,b2292,#N/A,b2298,b2302,b2304,b2322,b2351,#N/A,b2381,b2382,b2389,#N/A,b2427,b2434,b2467,b2503,#N/A,#N/A,b2534,b2548,#N/A,b2558,b2561,b2575,b2584,#N/A
0,0.122,0.151,0.157,0.184,0.113,0.132,0.155,0.163,0.126,0.13,0.129,0.127,0.105,0.122,0.172,0.115,0.13,0.127,0.135,0.126,0.127,0.12,0.123,0.121,0.13,0.131,0.11,0.133,0.126,0.122,0.13,0.15,0.115,0.116,0.119,0.112,0.146,0.123,0.141,0.125,0.129,0.129,0.111,0.114,0.119,0.144,0.13,0.127,0.12,0.116,0.12,0.111,0.115,0.112,0.137,0.12,0.111,0.127,0.122,0.103,0.151,0.113,0.138,0.11,0.141,0.121,0.123,0.115,0.142,0.127,0.178,0.142,0.109,0.126,0.125,0.116,0.125,0.107,0.132,0.128,0.128,0.089,0.159,0.116,0.13,0.127,0.13,0.081,0.133,0.123,0.203,0.113,0.128,0.166,0.145,0.122
0.25,0.13,0.161,0.171,0.206,0.118,0.143,0.166,0.178,0.136,0.139,0.136,0.131,0.109,0.13,0.187,0.124,0.141,0.137,0.141,0.134,0.135,0.128,0.131,0.13,0.142,0.14,0.115,0.144,0.13,0.127,0.141,0.166,0.123,0.123,0.126,0.118,0.154,0.131,0.153,0.135,0.14,0.137,0.118,0.117,0.125,0.147,0.139,0.137,0.127,0.123,0.126,0.118,0.119,0.115,0.143,0.129,0.116,0.137,0.131,0.105,0.166,0.118,0.15,0.115,0.155,0.131,0.132,0.121,0.154,0.137,0.199,0.155,0.114,0.135,0.136,0.123,0.134,0.109,0.144,0.139,0.136,0.089,0.177,0.124,0.139,0.136,0.142,0.081,0.145,0.133,0.235,0.12,0.139,0.18,0.162,0.131
0.5,0.149,0.19,0.204,0.248,0.128,0.164,0.198,0.214,0.155,0.16,0.155,0.143,0.116,0.147,0.221,0.141,0.166,0.159,0.15,0.151,0.154,0.145,0.148,0.15,0.167,0.162,0.128,0.165,0.143,0.14,0.162,0.199,0.139,0.138,0.144,0.132,0.171,0.147,0.181,0.154,0.164,0.156,0.134,0.129,0.141,0.157,0.16,0.16,0.142,0.138,0.142,0.133,0.128,0.125,0.163,0.148,0.13,0.159,0.15,0.109,0.198,0.128,0.178,0.128,0.186,0.147,0.152,0.134,0.181,0.159,0.235,0.183,0.127,0.155,0.157,0.139,0.154,0.116,0.168,0.163,0.158,0.089,0.215,0.141,0.161,0.156,0.167,0.081,0.17,0.155,0.281,0.134,0.164,0.212,0.195,0.149
0.75,0.186,0.233,0.253,0.294,0.145,0.2,0.24,0.26,0.185,0.194,0.184,0.165,0.129,0.177,0.273,0.171,0.202,0.195,0.141,0.168,0.186,0.171,0.179,0.181,0.205,0.2,0.149,0.196,0.164,0.161,0.2,0.252,0.166,0.163,0.173,0.153,0.2,0.176,0.224,0.186,0.202,0.185,0.158,0.146,0.169,0.176,0.193,0.198,0.17,0.164,0.166,0.159,0.142,0.143,0.193,0.169,0.153,0.198,0.183,0.113,0.238,0.141,0.221,0.148,0.233,0.172,0.185,0.159,0.228,0.193,0.295,0.227,0.148,0.186,0.193,0.166,0.187,0.127,0.205,0.201,0.196,0.09,0.268,0.169,0.197,0.19,0.209,0.081,0.211,0.188,0.327,0.157,0.201,0.263,0.241,0.175
1,0.227,0.269,0.302,0.339,0.162,0.24,0.279,0.31,0.223,0.232,0.214,0.202,0.149,0.212,0.31,0.209,0.24,0.235,0.111,0.183,0.22,0.203,0.216,0.218,0.241,0.237,0.179,0.23,0.19,0.189,0.237,0.29,0.207,0.2,0.214,0.187,0.232,0.219,0.268,0.221,0.236,0.215,0.193,0.171,0.205,0.198,0.227,0.236,0.209,0.201,0.201,0.19,0.163,0.169,0.231,0.188,0.187,0.234,0.221,0.12,0.279,0.16,0.264,0.177,0.28,0.203,0.222,0.193,0.274,0.227,0.344,0.264,0.179,0.226,0.231,0.204,0.228,0.145,0.239,0.238,0.236,0.091,0.324,0.209,0.235,0.228,0.253,0.081,0.253,0.23,0.356,0.191,0.242,0.315,0.282,0.207
1.25,0.261,0.332,0.348,0.373,0.183,0.287,0.315,0.347,0.26,0.281,0.248,0.239,0.177,0.254,0.341,0.251,0.289,0.285,0.105,0.202,0.268,0.238,0.256,0.257,0.292,0.28,0.215,0.276,0.222,0.223,0.295,0.341,0.242,0.232,0.244,0.22,0.268,0.258,0.327,0.265,0.292,0.246,0.222,0.212,0.234,0.23,0.268,0.283,0.243,0.235,0.231,0.223,0.188,0.203,0.258,0.213,0.216,0.286,0.272,0.126,0.308,0.185,0.322,0.212,0.333,0.231,0.264,0.226,0.318,0.275,0.391,0.318,0.213,0.265,0.28,0.232,0.278,0.171,0.287,0.293,0.293,0.093,0.359,0.239,0.279,0.28,0.298,0.081,0.312,0.272,0.389,0.226,0.297,0.347,0.333,0.244
1.5,0.321,0.374,0.4,0.417,0.218,0.326,0.35,0.382,0.302,0.319,0.279,0.268,0.207,0.295,0.384,0.292,0.324,0.33,0.104,0.235,0.302,0.286,0.294,0.307,0.325,0.322,0.261,0.313,0.26,0.266,0.332,0.377,0.3,0.284,0.288,0.273,0.306,0.307,0.368,0.303,0.324,0.282,0.271,0.239,0.273,0.261,0.297,0.313,0.291,0.285,0.277,0.274,0.216,0.234,0.322,0.261,0.271,0.316,0.304,0.134,0.338,0.216,0.36,0.25,0.376,0.271,0.296,0.275,0.36,0.306,0.45,0.356,0.262,0.298,0.308,0.28,0.311,0.208,0.323,0.332,0.335,0.096,0.409,0.292,0.309,0.315,0.337,0.081,0.351,0.317,0.441,0.27,0.338,0.392,0.383,0.288
1.75,0.364,0.455,0.469,0.467,0.251,0.371,0.383,0.428,0.331,0.358,0.311,0.295,0.242,0.338,0.433,0.325,0.36,0.375,0.103,0.268,0.345,0.328,0.338,0.349,0.361,0.363,0.296,0.363,0.316,0.319,0.385,0.424,0.338,0.31,0.315,0.311,0.336,0.352,0.434,0.346,0.357,0.305,0.296,0.303,0.296,0.283,0.332,0.348,0.328,0.315,0.302,0.309,0.25,0.292,0.346,0.298,0.298,0.349,0.344,0.146,0.374,0.251,0.422,0.279,0.439,0.293,0.327,0.314,0.415,0.343,0.492,0.406,0.294,0.329,0.342,0.307,0.353,0.245,0.373,0.385,0.386,0.101,0.464,0.322,0.345,0.363,0.397,0.081,0.405,0.357,0.498,0.318,0.389,0.439,0.444,0.328
2,0.428,0.506,0.52,0.506,0.292,0.427,0.423,0.463,0.369,0.411,0.348,0.327,0.267,0.402,0.472,0.365,0.403,0.433,0.102,0.312,0.411,0.398,0.405,0.405,0.403,0.411,0.336,0.428,0.34,0.351,0.443,0.477,0.402,0.345,0.346,0.361,0.372,0.422,0.477,0.413,0.397,0.332,0.331,0.33,0.326,0.313,0.371,0.394,0.385,0.351,0.333,0.37,0.3,0.318,0.398,0.35,0.337,0.394,0.394,0.161,0.422,0.278,0.466,0.306,0.484,0.325,0.364,0.363,0.471,0.392,0.54,0.452,0.326,0.364,0.383,0.339,0.409,0.295,0.439,0.43,0.449,0.109,0.505,0.364,0.384,0.428,0.441,0.081,0.459,0.415,0.537,0.357,0.446,0.477,0.489,0.38
2.25,0.471,0.557,0.571,0.542,0.354,0.469,0.462,0.498,0.412,0.45,0.401,0.382,0.294,0.446,0.51,0.409,0.45,0.478,0.102,0.377,0.457,0.458,0.454,0.447,0.453,0.451,0.397,0.479,0.375,0.399,0.488,0.522,0.449,0.391,0.373,0.433,0.422,0.475,0.529,0.458,0.44,0.366,0.367,0.371,0.359,0.345,0.419,0.425,0.44,0.396,0.372,0.42,0.366,0.36,0.461,0.404,0.383,0.433,0.431,0.181,0.456,0.319,0.516,0.339,0.535,0.372,0.417,0.429,0.518,0.446,0.591,0.492,0.368,0.402,0.427,0.382,0.449,0.329,0.483,0.476,0.498,0.121,0.549,0.411,0.428,0.472,0.486,0.081,0.505,0.457,0.583,0.423,0.496,0.517,0.539,0.42
2.5,0.523,0.611,0.619,0.58,0.407,0.521,0.495,0.534,0.445,0.494,0.443,0.435,0.327,0.492,0.548,0.443,0.488,0.531,0.102,0.448,0.504,0.508,0.504,0.495,0.491,0.495,0.441,0.534,0.421,0.456,0.54,0.574,0.499,0.431,0.401,0.483,0.464,0.526,0.583,0.503,0.477,0.41,0.412,0.429,0.407,0.389,0.453,0.459,0.487,0.439,0.423,0.467,0.448,0.423,0.507,0.454,0.446,0.471,0.469,0.218,0.492,0.381,0.569,0.378,0.587,0.43,0.453,0.477,0.566,0.486,0.637,0.531,0.412,0.446,0.463,0.423,0.495,0.384,0.529,0.529,0.549,0.14,0.594,0.449,0.462,0.518,0.533,0.081,0.555,0.504,0.629,0.474,0.549,0.562,0.582,0.462
2.75,0.581,0.656,0.665,0.616,0.446,0.572,0.524,0.567,0.48,0.544,0.489,0.482,0.372,0.541,0.586,0.477,0.526,0.585,0.101,0.525,0.554,0.558,0.557,0.549,0.533,0.545,0.489,0.588,0.465,0.496,0.592,0.622,0.556,0.472,0.431,0.54,0.503,0.579,0.628,0.555,0.515,0.445,0.456,0.476,0.442,0.43,0.49,0.494,0.539,0.475,0.459,0.516,0.49,0.469,0.556,0.502,0.482,0.511,0.51,0.251,0.529,0.429,0.614,0.411,0.634,0.476,0.49,0.53,0.612,0.531,0.682,0.572,0.446,0.477,0.5,0.459,0.544,0.443,0.582,0.577,0.599,0.157,0.638,0.494,0.497,0.574,0.586,0.081,0.603,0.555,0.672,0.524,0.603,0.608,0.631,0.507
3,0.629,0.698,0.708,0.653,0.49,0.618,0.555,0.602,0.516,0.597,0.539,0.532,0.408,0.59,0.626,0.511,0.561,0.628,0.101,0.577,0.606,0.613,0.612,0.6,0.576,0.596,0.542,0.641,0.501,0.536,0.636,0.663,0.608,0.519,0.464,0.598,0.549,0.633,0.674,0.604,0.554,0.481,0.485,0.528,0.474,0.47,0.529,0.531,0.595,0.513,0.498,0.565,0.539,0.521,0.608,0.552,0.522,0.553,0.549,0.29,0.567,0.477,0.661,0.442,0.68,0.529,0.529,0.584,0.66,0.576,0.722,0.613,0.48,0.509,0.54,0.499,0.59,0.492,0.629,0.624,0.646,0.185,0.677,0.541,0.531,0.621,0.632,0.081,0.648,0.603,0.714,0.575,0.654,0.655,0.671,0.552
3.25,0.675,0.733,0.741,0.688,0.546,0.662,0.584,0.631,0.55,0.641,0.589,0.581,0.44,0.629,0.664,0.546,0.598,0.671,0.101,0.632,0.647,0.655,0.657,0.643,0.618,0.647,0.593,0.689,0.538,0.578,0.68,0.702,0.655,0.565,0.496,0.649,0.592,0.678,0.711,0.645,0.593,0.521,0.517,0.58,0.509,0.513,0.57,0.567,0.641,0.55,0.535,0.61,0.576,0.57,0.654,0.597,0.566,0.593,0.589,0.334,0.602,0.524,0.7,0.471,0.718,0.579,0.566,0.638,0.702,0.615,0.755,0.65,0.514,0.538,0.575,0.537,0.633,0.541,0.67,0.664,0.688,0.218,0.715,0.587,0.566,0.666,0.675,0.081,0.687,0.648,0.749,0.624,0.695,0.693,0.706,0.591
3.5,0.712,0.758,0.769,0.718,0.588,0.695,0.612,0.658,0.584,0.681,0.639,0.627,0.474,0.665,0.698,0.58,0.633,0.708,0.101,0.674,0.684,0.692,0.694,0.681,0.658,0.69,0.643,0.73,0.572,0.616,0.712,0.731,0.695,0.611,0.526,0.693,0.634,0.719,0.739,0.682,0.632,0.563,0.548,0.632,0.545,0.559,0.612,0.603,0.683,0.587,0.574,0.649,0.607,0.619,0.692,0.638,0.61,0.629,0.625,0.392,0.637,0.575,0.729,0.5,0.747,0.629,0.6,0.685,0.738,0.659,0.787,0.682,0.549,0.567,0.616,0.574,0.672,0.591,0.706,0.697,0.725,0.26,0.748,0.628,0.601,0.702,0.708,0.081,0.719,0.688,0.777,0.669,0.729,0.729,0.739,0.629
3.75,0.739,0.785,0.792,0.744,0.622,0.722,0.637,0.681,0.616,0.714,0.679,0.662,0.509,0.693,0.727,0.612,0.663,0.737,0.101,0.711,0.715,0.722,0.724,0.71,0.692,0.727,0.683,0.764,0.604,0.65,0.739,0.757,0.728,0.656,0.552,0.731,0.673,0.751,0.769,0.709,0.665,0.604,0.579,0.674,0.581,0.606,0.647,0.633,0.719,0.622,0.611,0.684,0.638,0.654,0.722,0.676,0.648,0.663,0.659,0.446,0.668,0.619,0.76,0.528,0.775,0.673,0.633,0.726,0.766,0.694,0.812,0.706,0.584,0.596,0.652,0.613,0.703,0.634,0.734,0.726,0.753,0.275,0.774,0.668,0.633,0.729,0.735,0.081,0.744,0.72,0.805,0.706,0.758,0.759,0.761,0.664
4,0.765,0.807,0.815,0.765,0.656,0.751,0.661,0.7,0.644,0.743,0.714,0.692,0.544,0.716,0.751,0.64,0.692,0.764,0.101,0.737,0.74,0.746,0.749,0.737,0.722,0.759,0.719,0.793,0.636,0.683,0.767,0.783,0.753,0.695,0.574,0.761,0.705,0.776,0.793,0.737,0.695,0.646,0.611,0.712,0.618,0.648,0.678,0.66,0.745,0.656,0.647,0.715,0.666,0.687,0.746,0.711,0.688,0.694,0.688,0.508,0.697,0.653,0.785,0.555,0.8,0.709,0.666,0.761,0.791,0.727,0.837,0.729,0.617,0.622,0.684,0.647,0.732,0.668,0.761,0.754,0.777,0.298,0.8,0.703,0.665,0.759,0.764,0.081,0.769,0.747,0.829,0.736,0.785,0.789,0.781,0.693
4.25,0.789,0.827,0.836,0.786,0.685,0.776,0.682,0.722,0.669,0.77,0.741,0.714,0.578,0.739,0.774,0.663,0.717,0.79,0.102,0.761,0.766,0.774,0.776,0.765,0.747,0.787,0.747,0.82,0.665,0.71,0.789,0.806,0.78,0.728,0.596,0.787,0.732,0.802,0.815,0.761,0.72,0.686,0.641,0.743,0.654,0.689,0.707,0.685,0.77,0.687,0.68,0.745,0.692,0.713,0.771,0.741,0.717,0.722,0.717,0.563,0.724,0.684,0.808,0.582,0.82,0.737,0.695,0.787,0.816,0.754,0.861,0.753,0.65,0.65,0.712,0.681,0.76,0.702,0.786,0.776,0.801,0.329,0.824,0.731,0.694,0.782,0.786,0.081,0.791,0.774,0.85,0.761,0.809,0.815,0.802,0.722
4.5,0.808,0.846,0.851,0.806,0.711,0.794,0.7,0.74,0.691,0.793,0.768,0.736,0.611,0.761,0.797,0.685,0.737,0.809,0.103,0.777,0.784,0.793,0.795,0.783,0.77,0.815,0.773,0.843,0.694,0.734,0.812,0.826,0.801,0.755,0.616,0.811,0.759,0.824,0.835,0.779,0.746,0.72,0.67,0.768,0.682,0.723,0.731,0.708,0.792,0.714,0.709,0.767,0.711,0.735,0.793,0.765,0.741,0.749,0.743,0.611,0.75,0.708,0.834,0.606,0.839,0.763,0.719,0.813,0.84,0.782,0.884,0.774,0.676,0.673,0.741,0.708,0.78,0.726,0.804,0.8,0.824,0.364,0.849,0.762,0.72,0.804,0.811,0.081,0.809,0.797,0.869,0.781,0.833,0.837,0.818,0.742
