,#N/A,b2660,b2667,b2668,b2680,#N/A,b2690,b2711,b2761,#N/A,#N/A,#N/A,b2775,b2777,b2794,b2830,b2832,b2835,b0927,#N/A,b1180,b1462,b2710,b0509,b1692,b2140,b2736,#N/A,#N/A,b0813,#N/A,b1135,b1269,#N/A,b1601,b0992,b0892,#N/A,b1022,b1055,b1065,b1100,#N/A,b1134,#N/A,b1163,#N/A,#N/A,#N/A,#N/A,b1179,b1202,#N/A,b1219,b1220,b1233,b1280,b1285,b1298,b1299,b1310,b1316,b1330,#N/A,b1342,#N/A,b1344,#N/A,#N/A,b1408,b1434,b1439,b1442,#N/A,b1491,#N/A,b1534,b1644,b1654,#N/A,b1660,b1663,b1674,#N/A,b1690,b1691,b1696,#N/A,b1727,b1758,b1768,#N/A,b1785,#N/A,b1813,b1816
0,0.093,0.111,0.125,0.125,0.163,0.109,0.12,0.126,0.097,0.127,0.122,0.235,0.244,0.266,0.261,0.137,0.094,0.12,0.111,0.151,0.238,0.108,0.211,0.134,0.096,0.113,0.118,0.12,0.172,0.166,0.18,0.137,0.098,0.112,0.106,0.131,0.112,0.117,0.104,0.131,0.103,0.123,0.128,0.122,0.12,0.114,0.127,0.131,0.103,0.132,0.11,0.115,0.117,0.11,0.145,0.119,0.095,0.111,0.122,0.113,0.12,0.109,0.119,0.13,0.103,0.129,0.119,0.112,0.119,0.117,0.193,0.122,0.12,0.116,0.119,0.12,0.122,0.114,0.172,0.134,0.114,0.135,0.127,0.124,0.117,0.122,0.136,0.115,0.111,0.117,0.111,0.115,0.121,0.123,0.148,0.128
0.25,0.096,0.118,0.133,0.133,0.168,0.112,0.123,0.131,0.103,0.139,0.134,0.244,0.251,0.268,0.263,0.148,0.098,0.131,0.121,0.156,0.241,0.117,0.208,0.145,0.101,0.121,0.129,0.129,0.179,0.165,0.183,0.154,0.098,0.12,0.113,0.143,0.118,0.126,0.108,0.141,0.11,0.135,0.141,0.134,0.131,0.122,0.14,0.14,0.111,0.147,0.119,0.124,0.126,0.118,0.162,0.125,0.1,0.119,0.132,0.122,0.129,0.117,0.128,0.139,0.11,0.142,0.131,0.121,0.131,0.127,0.225,0.134,0.131,0.122,0.127,0.133,0.134,0.122,0.198,0.148,0.124,0.151,0.141,0.137,0.128,0.135,0.152,0.121,0.121,0.124,0.116,0.122,0.128,0.134,0.164,0.138
0.5,0.102,0.133,0.148,0.151,0.183,0.119,0.129,0.144,0.116,0.165,0.157,0.269,0.273,0.282,0.275,0.167,0.106,0.155,0.141,0.177,0.264,0.133,0.223,0.172,0.11,0.138,0.153,0.149,0.2,0.184,0.201,0.181,0.105,0.137,0.128,0.169,0.137,0.148,0.115,0.161,0.122,0.161,0.169,0.16,0.155,0.14,0.169,0.16,0.124,0.18,0.138,0.145,0.149,0.135,0.197,0.136,0.108,0.134,0.148,0.141,0.151,0.135,0.149,0.162,0.126,0.171,0.154,0.139,0.154,0.149,0.287,0.153,0.156,0.136,0.139,0.159,0.16,0.14,0.25,0.176,0.143,0.182,0.169,0.162,0.148,0.161,0.184,0.132,0.141,0.139,0.126,0.138,0.143,0.155,0.193,0.158
0.75,0.115,0.158,0.172,0.168,0.195,0.134,0.143,0.166,0.135,0.205,0.192,0.295,0.306,0.292,0.286,0.195,0.119,0.19,0.169,0.198,0.293,0.155,0.236,0.212,0.116,0.163,0.187,0.179,0.229,0.214,0.226,0.222,0.113,0.166,0.151,0.207,0.162,0.182,0.128,0.191,0.143,0.198,0.198,0.197,0.186,0.167,0.207,0.188,0.146,0.225,0.168,0.176,0.182,0.162,0.243,0.153,0.119,0.157,0.16,0.17,0.184,0.163,0.179,0.197,0.15,0.213,0.185,0.16,0.189,0.183,0.348,0.182,0.189,0.156,0.149,0.193,0.201,0.167,0.316,0.216,0.173,0.226,0.208,0.202,0.177,0.199,0.232,0.15,0.17,0.163,0.143,0.165,0.162,0.187,0.233,0.183
1,0.132,0.193,0.204,0.206,0.22,0.158,0.161,0.199,0.163,0.24,0.225,0.334,0.344,0.315,0.309,0.229,0.139,0.228,0.202,0.235,0.329,0.189,0.267,0.247,0.124,0.194,0.221,0.218,0.272,0.252,0.258,0.26,0.128,0.203,0.186,0.242,0.199,0.225,0.145,0.23,0.17,0.236,0.222,0.235,0.222,0.2,0.244,0.225,0.174,0.264,0.205,0.212,0.224,0.197,0.282,0.177,0.136,0.19,0.172,0.207,0.224,0.204,0.222,0.237,0.185,0.25,0.22,0.185,0.223,0.222,0.383,0.218,0.22,0.184,0.16,0.234,0.242,0.199,0.356,0.251,0.21,0.275,0.248,0.242,0.219,0.242,0.28,0.179,0.206,0.196,0.167,0.202,0.193,0.225,0.272,0.214
1.25,0.152,0.224,0.235,0.238,0.253,0.191,0.186,0.235,0.193,0.293,0.275,0.393,0.398,0.347,0.331,0.264,0.17,0.28,0.241,0.268,0.37,0.218,0.293,0.292,0.133,0.233,0.273,0.252,0.314,0.293,0.301,0.321,0.151,0.247,0.219,0.285,0.235,0.264,0.166,0.272,0.207,0.289,0.27,0.295,0.269,0.233,0.287,0.262,0.209,0.309,0.248,0.254,0.262,0.234,0.31,0.208,0.162,0.228,0.189,0.252,0.268,0.243,0.262,0.283,0.217,0.312,0.267,0.218,0.265,0.268,0.432,0.261,0.261,0.211,0.177,0.285,0.297,0.226,0.393,0.303,0.259,0.313,0.297,0.3,0.252,0.297,0.337,0.218,0.25,0.228,0.194,0.237,0.231,0.275,0.322,0.247
1.5,0.181,0.278,0.281,0.315,0.275,0.22,0.215,0.281,0.241,0.333,0.323,0.427,0.438,0.391,0.365,0.317,0.197,0.326,0.293,0.317,0.397,0.264,0.339,0.325,0.147,0.292,0.303,0.304,0.355,0.342,0.327,0.356,0.179,0.304,0.276,0.312,0.288,0.313,0.197,0.308,0.258,0.32,0.317,0.332,0.311,0.271,0.317,0.293,0.258,0.334,0.287,0.297,0.31,0.282,0.345,0.241,0.191,0.287,0.218,0.314,0.32,0.292,0.3,0.32,0.267,0.349,0.305,0.27,0.305,0.317,0.468,0.307,0.288,0.252,0.202,0.327,0.339,0.261,0.443,0.335,0.298,0.359,0.326,0.334,0.296,0.331,0.382,0.257,0.288,0.28,0.229,0.303,0.266,0.311,0.41,0.293
1.75,0.213,0.32,0.36,0.37,0.345,0.265,0.247,0.322,0.271,0.389,0.365,0.481,0.497,0.427,0.389,0.347,0.249,0.377,0.332,0.341,0.424,0.291,0.409,0.36,0.166,0.327,0.347,0.345,0.391,0.38,0.36,0.415,0.207,0.345,0.316,0.346,0.319,0.345,0.235,0.355,0.294,0.356,0.388,0.377,0.35,0.294,0.352,0.314,0.293,0.367,0.319,0.334,0.343,0.31,0.388,0.298,0.232,0.325,0.237,0.354,0.36,0.324,0.336,0.348,0.297,0.405,0.344,0.299,0.337,0.36,0.501,0.343,0.316,0.275,0.224,0.366,0.387,0.282,0.477,0.373,0.34,0.429,0.37,0.379,0.33,0.383,0.447,0.291,0.333,0.307,0.253,0.337,0.326,0.348,0.506,0.327
2,0.275,0.385,0.393,0.444,0.375,0.326,0.294,0.359,0.313,0.43,0.417,0.524,0.544,0.472,0.426,0.379,0.277,0.428,0.388,0.375,0.466,0.329,0.45,0.412,0.193,0.394,0.398,0.398,0.436,0.434,0.394,0.457,0.26,0.413,0.382,0.387,0.367,0.386,0.264,0.414,0.354,0.398,0.467,0.431,0.409,0.325,0.391,0.336,0.35,0.405,0.361,0.389,0.39,0.346,0.437,0.375,0.257,0.386,0.26,0.423,0.422,0.368,0.392,0.387,0.336,0.461,0.386,0.345,0.374,0.414,0.535,0.397,0.349,0.303,0.256,0.414,0.445,0.308,0.517,0.417,0.396,0.473,0.4,0.434,0.37,0.429,0.491,0.327,0.4,0.34,0.286,0.384,0.4,0.403,0.595,0.369
2.25,0.32,0.436,0.446,0.511,0.426,0.406,0.348,0.413,0.376,0.476,0.461,0.57,0.593,0.526,0.467,0.418,0.315,0.475,0.429,0.409,0.497,0.378,0.517,0.452,0.219,0.447,0.446,0.463,0.482,0.477,0.442,0.505,0.284,0.46,0.432,0.429,0.415,0.426,0.309,0.455,0.398,0.442,0.532,0.478,0.447,0.366,0.437,0.36,0.394,0.451,0.403,0.43,0.431,0.387,0.477,0.415,0.289,0.448,0.286,0.476,0.47,0.413,0.435,0.425,0.383,0.51,0.428,0.407,0.425,0.457,0.57,0.442,0.386,0.339,0.295,0.455,0.492,0.339,0.559,0.467,0.433,0.517,0.435,0.475,0.413,0.472,0.543,0.379,0.445,0.383,0.328,0.451,0.436,0.463,0.596,0.424
