,b3659,b4555,b3665,b3675,b3676,b3677,b3678,b3679,b3697,b3710,b3712,b3713,b3714,b3715,b3716,b3717,b3754,b3764,b3765,b3790,b3807,b3810,b3812,b3817,b3832,b3858,b3862,b3866,b3872,b3873,b3874,b3875,b3878,b3879,b3881,b3882,b3888,b3896,b3900,b3915,b3921,b3922,b3928,b3937,b3944,b3955,b3964,b3996,b3999,b4001,b4012,b4022,b4023,b4026,b4028,b4029,b4030,b4038,b4045,b4047,b4048,b4056,b4057,b4061,b4064,b4065,b4066,b4067,b4068,b4078,b4080,b4082,b4108,b4109,b4115,b4121,b4126,b4127,b4128,b4130,b4141,b4145,b4146,b4157,b4158,b4159,b4166,b4176,b4178,b4180,b4181,b4182,b4183,b4184,b4185,b4186
0,0.163,0.153,0.086,0.121,0.083,0.112,0.136,0.126,0.131,0.139,0.138,0.119,0.131,0.117,0.15,0.122,0.138,0.158,0.154,0.082,0.128,0.12,0.135,0.087,0.156,0.134,0.159,0.119,0.135,0.128,0.141,0.102,0.141,0.083,0.146,0.138,0.142,0.128,0.131,0.084,0.149,0.143,0.131,0.119,0.129,0.129,0.127,0.14,0.085,0.152,0.132,0.134,0.126,0.122,0.138,0.165,0.19,0.155,0.135,0.133,0.137,0.135,0.148,0.163,0.162,0.16,0.13,0.134,0.139,0.134,0.129,0.168,0.131,0.14,0.131,0.137,0.141,0.131,0.128,0.094,0.178,0.154,0.09,0.143,0.128,0.117,0.147,0.135,0.095,0.091,0.152,0.152,0.139,0.087,0.151,0.143
0.25,0.179,0.165,0.086,0.128,0.083,0.117,0.148,0.147,0.136,0.151,0.147,0.128,0.142,0.124,0.166,0.144,0.149,0.176,0.172,0.082,0.139,0.128,0.147,0.087,0.17,0.147,0.177,0.126,0.145,0.138,0.154,0.1,0.154,0.083,0.163,0.148,0.151,0.138,0.142,0.084,0.164,0.154,0.144,0.127,0.139,0.14,0.137,0.15,0.085,0.169,0.144,0.145,0.134,0.129,0.152,0.179,0.211,0.173,0.148,0.145,0.149,0.146,0.163,0.186,0.182,0.178,0.142,0.145,0.151,0.146,0.14,0.184,0.143,0.156,0.143,0.15,0.155,0.141,0.14,0.095,0.203,0.171,0.092,0.156,0.138,0.125,0.163,0.149,0.095,0.091,0.168,0.167,0.149,0.089,0.167,0.166
0.5,0.217,0.197,0.087,0.144,0.083,0.13,0.175,0.181,0.15,0.176,0.168,0.147,0.166,0.138,0.201,0.175,0.174,0.215,0.211,0.082,0.163,0.145,0.175,0.087,0.206,0.174,0.22,0.142,0.163,0.156,0.185,0.099,0.184,0.083,0.201,0.172,0.179,0.162,0.166,0.086,0.198,0.18,0.172,0.148,0.161,0.166,0.16,0.174,0.085,0.206,0.172,0.169,0.156,0.148,0.181,0.208,0.254,0.214,0.177,0.173,0.175,0.172,0.196,0.235,0.225,0.219,0.168,0.171,0.18,0.174,0.163,0.221,0.169,0.188,0.171,0.178,0.186,0.166,0.164,0.098,0.251,0.209,0.094,0.188,0.161,0.143,0.2,0.177,0.095,0.09,0.207,0.198,0.168,0.089,0.199,0.211
0.75,0.267,0.247,0.088,0.168,0.083,0.147,0.217,0.22,0.17,0.216,0.196,0.179,0.206,0.164,0.25,0.214,0.214,0.265,0.261,0.082,0.206,0.176,0.217,0.087,0.259,0.214,0.271,0.17,0.201,0.19,0.233,0.098,0.228,0.083,0.253,0.204,0.222,0.201,0.201,0.086,0.246,0.219,0.217,0.182,0.197,0.201,0.197,0.213,0.086,0.258,0.211,0.211,0.191,0.178,0.229,0.221,0.314,0.263,0.224,0.216,0.217,0.214,0.243,0.3,0.266,0.274,0.21,0.214,0.225,0.216,0.199,0.267,0.203,0.234,0.213,0.225,0.236,0.204,0.206,0.102,0.309,0.265,0.097,0.237,0.196,0.174,0.252,0.217,0.095,0.09,0.258,0.241,0.201,0.09,0.249,0.255
1,0.318,0.308,0.09,0.205,0.083,0.176,0.254,0.261,0.203,0.253,0.227,0.218,0.242,0.194,0.299,0.257,0.259,0.32,0.324,0.082,0.241,0.217,0.251,0.087,0.304,0.249,0.336,0.202,0.242,0.224,0.273,0.098,0.267,0.083,0.311,0.251,0.255,0.238,0.234,0.084,0.289,0.254,0.256,0.224,0.235,0.235,0.235,0.25,0.085,0.312,0.242,0.256,0.236,0.223,0.266,0.162,0.364,0.326,0.263,0.253,0.251,0.251,0.279,0.351,0.312,0.333,0.246,0.253,0.259,0.251,0.238,0.305,0.235,0.282,0.249,0.262,0.276,0.239,0.24,0.108,0.347,0.314,0.101,0.275,0.236,0.214,0.302,0.251,0.092,0.09,0.305,0.282,0.245,0.09,0.305,0.302
1.25,0.344,0.347,0.093,0.237,0.083,0.206,0.316,0.322,0.23,0.308,0.272,0.27,0.297,0.228,0.347,0.321,0.292,0.367,0.366,0.082,0.3,0.252,0.312,0.087,0.342,0.308,0.381,0.24,0.298,0.214,0.333,0.098,0.315,0.083,0.362,0.295,0.317,0.302,0.287,0.084,0.324,0.309,0.313,0.258,0.29,0.294,0.293,0.291,0.085,0.366,0.286,0.305,0.283,0.254,0.32,0.125,0.415,0.368,0.325,0.312,0.299,0.315,0.333,0.395,0.348,0.369,0.305,0.312,0.317,0.309,0.286,0.336,0.262,0.339,0.311,0.324,0.332,0.3,0.293,0.117,0.389,0.358,0.105,0.34,0.287,0.256,0.339,0.295,0.092,0.09,0.342,0.313,0.283,0.09,0.341,0.385
1.5,0.385,0.396,0.097,0.287,0.084,0.258,0.356,0.402,0.275,0.346,0.305,0.303,0.337,0.28,0.388,0.416,0.333,0.423,0.423,0.082,0.334,0.299,0.35,0.088,0.398,0.342,0.437,0.285,0.327,0.134,0.377,0.1,0.36,0.084,0.415,0.336,0.343,0.336,0.32,0.086,0.364,0.346,0.355,0.301,0.326,0.338,0.329,0.324,0.086,0.422,0.309,0.343,0.325,0.307,0.355,0.118,0.453,0.414,0.365,0.344,0.325,0.35,0.371,0.447,0.394,0.418,0.338,0.347,0.349,0.347,0.32,0.378,0.293,0.386,0.349,0.361,0.374,0.336,0.331,0.132,0.432,0.406,0.111,0.379,0.323,0.307,0.384,0.32,0.092,0.09,0.38,0.345,0.313,0.09,0.389,0.43
1.75,0.441,0.461,0.103,0.323,0.084,0.289,0.419,0.513,0.307,0.401,0.349,0.341,0.388,0.31,0.439,0.471,0.37,0.464,0.471,0.082,0.37,0.338,0.408,0.088,0.434,0.388,0.48,0.314,0.37,0.117,0.437,0.1,0.41,0.083,0.458,0.382,0.387,0.389,0.372,0.084,0.414,0.397,0.408,0.33,0.376,0.407,0.376,0.367,0.085,0.467,0.339,0.39,0.37,0.346,0.405,0.115,0.485,0.467,0.419,0.39,0.366,0.404,0.429,0.483,0.433,0.473,0.39,0.398,0.396,0.403,0.37,0.43,0.329,0.438,0.402,0.42,0.43,0.389,0.381,0.154,0.466,0.461,0.118,0.437,0.37,0.345,0.44,0.348,0.092,0.09,0.428,0.386,0.344,0.091,0.441,0.495
2,0.481,0.505,0.111,0.377,0.083,0.33,0.465,0.548,0.355,0.445,0.418,0.392,0.429,0.371,0.475,0.516,0.404,0.509,0.517,0.082,0.41,0.4,0.45,0.089,0.474,0.436,0.528,0.359,0.407,0.115,0.479,0.097,0.448,0.083,0.505,0.434,0.428,0.433,0.414,0.085,0.454,0.432,0.449,0.371,0.428,0.461,0.429,0.429,0.086,0.513,0.372,0.45,0.428,0.403,0.451,0.114,0.522,0.511,0.459,0.435,0.402,0.448,0.468,0.526,0.469,0.519,0.433,0.453,0.443,0.443,0.405,0.479,0.358,0.48,0.443,0.463,0.471,0.435,0.419,0.179,0.503,0.504,0.125,0.479,0.426,0.401,0.481,0.378,0.092,0.09,0.467,0.439,0.388,0.091,0.479,0.537
2.25,0.522,0.551,0.122,0.434,0.083,0.395,0.512,0.593,0.406,0.49,0.466,0.427,0.474,0.428,0.519,0.567,0.443,0.556,0.567,0.082,0.442,0.453,0.496,0.09,0.519,0.475,0.577,0.391,0.444,0.114,0.528,0.099,0.492,0.083,0.559,0.477,0.463,0.478,0.453,0.084,0.496,0.475,0.496,0.417,0.471,0.508,0.473,0.469,0.085,0.567,0.407,0.493,0.471,0.442,0.493,0.113,0.562,0.561,0.507,0.474,0.435,0.494,0.512,0.572,0.506,0.566,0.476,0.498,0.474,0.486,0.445,0.519,0.389,0.528,0.49,0.512,0.521,0.477,0.46,0.216,0.541,0.555,0.134,0.528,0.466,0.442,0.527,0.411,0.092,0.09,0.506,0.477,0.424,0.093,0.524,0.58
