,b4388,b4392,b0052,b0109,b0133,b0134,b0423,b0425,b0586,b0593,b0594,b0595,b0628,b0638,b0750,b0774,b0775,b0776,b0777,b0778,b0782,b0783,b0784,b0785,b0826,b0827,b0849,b0931,b1337,b1393,b1394,b1636,#N/A,b1812,b1991,b1992,b1993,b2056,b2104,b2198,b2199,b2200,b2260,b2261,#N/A,b2320,b2436,b2564,b2574,b2582,b2688,b2812,b2889,b2895,b2906,b2947,b3229,b3360,b3803,b3833,b3844,b3857,b3929,b3930,b3974,b3990,b3993,b3994,b4386,b0139,b0196,b0240,b0241,b0381,b0441,b0530,b0531,b0633,b0717,b0719,b0939,b1039,b1041,b1042,b1070,b1072,b1073,b1074,b1075,b1076,b1077,b1078,b1080,b1081,b1082,b1107
0,0.146,0.138,0.157,0.155,0.162,0.15,0.147,0.238,0.158,0.153,0.157,0.127,0.114,0.15,0.18,0.189,0.148,0.145,0.151,0.164,0.133,0.142,0.197,0.236,0.152,0.155,0.147,0.151,0.163,0.14,0.238,0.146,0.156,0.135,0.149,0.147,0.161,0.143,0.228,0.146,0.172,0.137,0.159,0.149,0.081,0.173,0.295,0.125,0.155,0.135,0.08,0.158,0.151,0.139,0.272,0.145,0.156,0.176,0.163,0.168,0.132,0.152,0.252,0.138,0.157,0.163,0.143,0.142,0.143,0.229,0.255,0.227,0.138,0.169,0.136,0.151,0.144,0.177,0.252,0.293,0.154,0.178,0.146,0.154,0.132,0.161,0.13,0.253,0.158,0.168,0.162,0.178,0.185,0.15,0.159,0.231
0.25,0.159,0.147,0.169,0.166,0.174,0.16,0.149,0.236,0.166,0.159,0.166,0.136,0.116,0.161,0.176,0.21,0.157,0.15,0.159,0.175,0.138,0.162,0.201,0.239,0.162,0.162,0.154,0.157,0.173,0.149,0.238,0.158,0.168,0.142,0.151,0.154,0.171,0.143,0.234,0.156,0.181,0.146,0.164,0.156,0.081,0.183,0.293,0.132,0.165,0.14,0.08,0.168,0.163,0.147,0.273,0.155,0.163,0.189,0.168,0.185,0.141,0.16,0.252,0.149,0.168,0.169,0.148,0.148,0.15,0.226,0.257,0.234,0.149,0.18,0.141,0.158,0.151,0.187,0.253,0.248,0.166,0.191,0.153,0.163,0.14,0.174,0.135,0.252,0.174,0.181,0.176,0.191,0.198,0.159,0.173,0.201
0.5,0.184,0.166,0.195,0.191,0.201,0.182,0.163,0.236,0.188,0.177,0.187,0.153,0.12,0.197,0.182,0.252,0.175,0.164,0.18,0.203,0.151,0.171,0.211,0.245,0.184,0.182,0.172,0.175,0.202,0.169,0.245,0.181,0.195,0.159,0.171,0.173,0.2,0.161,0.249,0.177,0.202,0.168,0.186,0.176,0.08,0.207,0.304,0.147,0.19,0.155,0.08,0.193,0.187,0.171,0.288,0.175,0.182,0.221,0.184,0.205,0.16,0.182,0.267,0.173,0.195,0.186,0.163,0.165,0.168,0.242,0.267,0.248,0.178,0.207,0.154,0.18,0.17,0.214,0.266,0.222,0.193,0.221,0.17,0.184,0.158,0.203,0.148,0.253,0.205,0.207,0.203,0.222,0.228,0.179,0.201,0.188
0.75,0.223,0.195,0.233,0.231,0.242,0.218,0.188,0.249,0.224,0.209,0.215,0.179,0.124,0.22,0.185,0.302,0.204,0.187,0.216,0.243,0.172,0.251,0.23,0.265,0.22,0.218,0.199,0.203,0.241,0.2,0.252,0.213,0.238,0.186,0.202,0.204,0.237,0.189,0.273,0.209,0.235,0.201,0.217,0.209,0.08,0.242,0.328,0.171,0.224,0.175,0.08,0.233,0.229,0.197,0.303,0.206,0.21,0.267,0.211,0.22,0.192,0.216,0.281,0.205,0.235,0.215,0.19,0.191,0.197,0.269,0.288,0.274,0.206,0.248,0.176,0.213,0.2,0.253,0.287,0.219,0.226,0.264,0.198,0.219,0.187,0.244,0.168,0.264,0.249,0.247,0.242,0.265,0.267,0.21,0.241,0.203
1,0.254,0.235,0.267,0.26,0.274,0.248,0.219,0.262,0.257,0.243,0.236,0.212,0.13,0.273,0.217,0.336,0.239,0.22,0.251,0.279,0.199,0.246,0.257,0.29,0.256,0.252,0.235,0.239,0.277,0.23,0.269,0.242,0.273,0.225,0.235,0.237,0.277,0.222,0.304,0.241,0.265,0.24,0.245,0.242,0.081,0.271,0.355,0.197,0.256,0.215,0.08,0.264,0.261,0.228,0.328,0.234,0.242,0.311,0.247,0.241,0.23,0.25,0.301,0.235,0.269,0.251,0.229,0.231,0.236,0.3,0.312,0.292,0.241,0.28,0.212,0.248,0.235,0.288,0.319,0.232,0.258,0.3,0.239,0.253,0.222,0.274,0.199,0.278,0.287,0.283,0.278,0.306,0.304,0.244,0.28,0.233
1.25,0.309,0.275,0.311,0.306,0.318,0.296,0.257,0.306,0.293,0.285,0.278,0.25,0.135,0.316,0.244,0.37,0.279,0.253,0.297,0.328,0.231,0.284,0.287,0.311,0.305,0.301,0.257,0.271,0.308,0.281,0.296,0.287,0.318,0.256,0.279,0.275,0.302,0.264,0.344,0.288,0.31,0.286,0.273,0.292,0.08,0.307,0.389,0.226,0.305,0.244,0.08,0.312,0.313,0.279,0.351,0.274,0.283,0.349,0.276,0.253,0.262,0.298,0.331,0.286,0.317,0.296,0.261,0.27,0.276,0.347,0.334,0.33,0.288,0.332,0.243,0.286,0.282,0.335,0.351,0.26,0.295,0.337,0.275,0.302,0.264,0.322,0.226,0.299,0.326,0.328,0.325,0.348,0.346,0.285,0.312,0.276
1.5,0.344,0.311,0.348,0.343,0.357,0.329,0.293,0.346,0.321,0.316,0.307,0.287,0.142,0.325,0.259,0.403,0.319,0.294,0.326,0.364,0.271,0.33,0.331,0.351,0.341,0.334,0.295,0.306,0.336,0.316,0.321,0.311,0.348,0.301,0.311,0.3,0.33,0.296,0.375,0.32,0.339,0.324,0.301,0.324,0.081,0.325,0.412,0.267,0.335,0.294,0.08,0.347,0.344,0.31,0.39,0.303,0.324,0.384,0.321,0.267,0.296,0.333,0.376,0.322,0.354,0.331,0.309,0.31,0.313,0.381,0.379,0.359,0.32,0.369,0.295,0.309,0.316,0.37,0.38,0.291,0.318,0.368,0.308,0.334,0.296,0.36,0.268,0.319,0.357,0.368,0.36,0.387,0.388,0.311,0.345,0.307
1.75,0.388,0.343,0.396,0.399,0.404,0.373,0.327,0.406,0.356,0.353,0.345,0.324,0.15,0.362,0.282,0.439,0.356,0.328,0.362,0.406,0.295,0.359,0.366,0.374,0.384,0.378,0.32,0.335,0.367,0.36,0.358,0.342,0.388,0.335,0.346,0.328,0.366,0.332,0.408,0.362,0.376,0.366,0.321,0.366,0.081,0.347,0.432,0.297,0.368,0.325,0.08,0.392,0.386,0.347,0.411,0.337,0.365,0.429,0.355,0.277,0.313,0.379,0.403,0.366,0.401,0.37,0.345,0.349,0.351,0.417,0.41,0.415,0.356,0.419,0.331,0.332,0.351,0.415,0.408,0.324,0.343,0.405,0.346,0.369,0.325,0.398,0.297,0.344,0.393,0.413,0.402,0.438,0.441,0.341,0.386,0.338
2,0.437,0.39,0.462,0.447,0.463,0.432,0.375,0.456,0.396,0.407,0.408,0.369,0.158,0.392,0.301,0.47,0.41,0.368,0.403,0.464,0.325,0.426,0.414,0.416,0.446,0.439,0.351,0.374,0.403,0.424,0.379,0.379,0.421,0.38,0.39,0.362,0.404,0.385,0.453,0.413,0.42,0.424,0.347,0.425,0.08,0.373,0.456,0.337,0.405,0.37,0.08,0.454,0.435,0.395,0.443,0.382,0.43,0.478,0.401,0.285,0.318,0.434,0.442,0.428,0.463,0.422,0.394,0.4,0.405,0.465,0.452,0.469,0.4,0.476,0.374,0.36,0.397,0.476,0.443,0.368,0.372,0.446,0.394,0.407,0.364,0.443,0.334,0.393,0.428,0.468,0.448,0.494,0.488,0.374,0.431,0.375
2.25,0.475,0.443,0.502,0.49,0.506,0.469,0.422,0.501,0.447,0.463,0.454,0.423,0.167,0.429,0.314,0.497,0.463,0.424,0.456,0.509,0.356,0.463,0.471,0.45,0.49,0.484,0.389,0.429,0.445,0.47,0.405,0.418,0.464,0.433,0.444,0.398,0.443,0.423,0.499,0.449,0.468,0.468,0.378,0.476,0.08,0.4,0.485,0.399,0.45,0.43,0.08,0.492,0.477,0.45,0.481,0.432,0.479,0.524,0.461,0.292,0.328,0.475,0.499,0.47,0.507,0.483,0.457,0.466,0.462,0.516,0.5,0.517,0.444,0.52,0.437,0.387,0.453,0.518,0.484,0.414,0.403,0.496,0.459,0.453,0.403,0.491,0.385,0.441,0.469,0.513,0.506,0.538,0.53,0.411,0.469,0.424
