,b3328,b3329,b3331,b3332,b3347,b3361,b3544,#N/A,b3706,b0120,b0186,b0212,b0323,b0339,b0340,b0480,b0507,b0521,b0675,#N/A,b0678,b0693,b0824,b0980,b1002,b1014,b1020,b1189,b1190,b1317,b1493,b1602,b1603,b1619,b1651,b1767,b1814,b2028,b2038,b2039,b2040,b2041,b2042,b2048,b2052,b2053,b2239,b2366,b2502,b2541,b2661,b2750,b2751,b2752,b2762,b2763,b2764,b2788,b2797,b2874,b2903,b2904,b2905,b2938,b2957,b2979,b2980,b2988,b3003,#N/A,b3214,b3223,b3338,b3449,b3517,b3581,b3616,b3617,b3800,b3801,b3821,b3825,b3941,b4092,b3895,b3924,b4070,b4072,b4073,b4075,b4076,b4079,b4239,b4265,b4266,b4267
0,0.136,0.152,0.136,0.131,0.116,0.136,0.145,0.082,0.127,0.113,0.122,0.137,0.114,0.176,0.136,0.123,0.151,0.127,0.14,0.13,0.113,0.134,0.119,0.112,0.136,0.122,0.123,0.104,0.119,0.123,0.152,0.113,0.131,0.119,0.115,0.119,0.113,0.13,0.122,0.117,0.131,0.12,0.104,0.123,0.134,0.139,0.149,0.121,0.118,0.139,0.107,0.118,0.111,0.133,0.149,0.137,0.125,0.138,0.121,0.132,0.105,0.128,0.159,0.139,0.131,0.125,0.121,0.156,0.12,0.172,0.171,0.141,0.128,0.143,0.107,0.123,0.121,0.122,0.151,0.157,0.158,0.139,0.122,0.178,0.124,0.125,0.154,0.155,0.137,0.157,0.125,0.167,0.112,0.129,0.176,0.146
0.25,0.15,0.164,0.148,0.144,0.124,0.149,0.16,0.083,0.134,0.117,0.126,0.145,0.117,0.183,0.144,0.127,0.165,0.132,0.148,0.138,0.112,0.138,0.124,0.116,0.145,0.129,0.131,0.107,0.122,0.125,0.166,0.116,0.14,0.126,0.12,0.126,0.116,0.133,0.128,0.12,0.138,0.126,0.106,0.132,0.143,0.148,0.161,0.126,0.124,0.148,0.11,0.125,0.114,0.143,0.162,0.147,0.131,0.15,0.125,0.14,0.108,0.137,0.173,0.15,0.141,0.133,0.123,0.162,0.127,0.195,0.188,0.153,0.136,0.15,0.111,0.13,0.128,0.128,0.165,0.174,0.171,0.147,0.13,0.194,0.132,0.132,0.168,0.172,0.15,0.17,0.134,0.179,0.117,0.138,0.191,0.161
0.5,0.179,0.191,0.171,0.164,0.14,0.166,0.19,0.082,0.146,0.126,0.139,0.164,0.127,0.179,0.162,0.132,0.195,0.145,0.166,0.159,0.118,0.151,0.136,0.122,0.168,0.145,0.149,0.115,0.132,0.132,0.197,0.121,0.159,0.142,0.133,0.143,0.123,0.145,0.144,0.13,0.156,0.141,0.114,0.15,0.165,0.169,0.188,0.135,0.136,0.171,0.119,0.142,0.122,0.159,0.191,0.169,0.143,0.173,0.137,0.158,0.114,0.156,0.201,0.17,0.16,0.153,0.135,0.183,0.145,0.24,0.228,0.178,0.155,0.167,0.119,0.145,0.143,0.139,0.195,0.21,0.198,0.164,0.148,0.225,0.151,0.146,0.199,0.208,0.176,0.195,0.153,0.205,0.129,0.154,0.221,0.19
0.75,0.22,0.233,0.209,0.199,0.17,0.201,0.235,0.082,0.168,0.141,0.158,0.195,0.143,0.151,0.193,0.142,0.245,0.166,0.198,0.196,0.129,0.174,0.156,0.134,0.202,0.173,0.181,0.127,0.149,0.146,0.246,0.132,0.19,0.168,0.161,0.174,0.135,0.167,0.167,0.145,0.187,0.164,0.128,0.184,0.202,0.203,0.232,0.154,0.155,0.209,0.133,0.168,0.136,0.189,0.234,0.205,0.163,0.211,0.157,0.189,0.124,0.188,0.249,0.203,0.191,0.184,0.154,0.216,0.173,0.289,0.277,0.217,0.185,0.193,0.134,0.171,0.166,0.157,0.242,0.263,0.242,0.19,0.178,0.272,0.182,0.169,0.247,0.258,0.217,0.233,0.183,0.247,0.15,0.179,0.263,0.234
1,0.256,0.272,0.249,0.241,0.207,0.24,0.271,0.083,0.199,0.166,0.185,0.238,0.165,0.139,0.232,0.158,0.287,0.194,0.233,0.236,0.15,0.22,0.185,0.153,0.246,0.207,0.219,0.148,0.174,0.167,0.305,0.149,0.234,0.204,0.194,0.209,0.156,0.197,0.201,0.168,0.227,0.197,0.149,0.227,0.236,0.239,0.284,0.179,0.184,0.24,0.155,0.204,0.158,0.228,0.278,0.24,0.193,0.246,0.187,0.229,0.141,0.227,0.305,0.236,0.224,0.22,0.183,0.259,0.207,0.351,0.339,0.26,0.226,0.229,0.154,0.209,0.197,0.184,0.296,0.313,0.282,0.227,0.216,0.325,0.224,0.202,0.285,0.305,0.255,0.27,0.223,0.292,0.18,0.215,0.313,0.271
1.25,0.322,0.332,0.295,0.286,0.252,0.295,0.339,0.083,0.23,0.203,0.219,0.276,0.202,0.14,0.282,0.184,0.348,0.229,0.276,0.293,0.179,0.246,0.217,0.181,0.291,0.237,0.26,0.178,0.21,0.192,0.338,0.175,0.263,0.234,0.229,0.245,0.184,0.226,0.238,0.203,0.272,0.229,0.183,0.28,0.28,0.278,0.313,0.215,0.219,0.291,0.189,0.239,0.189,0.261,0.326,0.288,0.227,0.295,0.224,0.267,0.166,0.272,0.347,0.276,0.271,0.256,0.22,0.298,0.243,0.381,0.372,0.313,0.256,0.262,0.152,0.242,0.228,0.217,0.329,0.356,0.336,0.262,0.251,0.361,0.262,0.233,0.328,0.352,0.31,0.308,0.261,0.328,0.211,0.254,0.343,0.325
1.5,0.36,0.369,0.328,0.342,0.306,0.333,0.382,0.083,0.274,0.236,0.266,0.306,0.237,0.137,0.315,0.215,0.389,0.271,0.305,0.327,0.21,0.282,0.26,0.215,0.328,0.289,0.295,0.212,0.246,0.222,0.376,0.211,0.317,0.285,0.282,0.294,0.216,0.275,0.27,0.227,0.312,0.278,0.214,0.319,0.309,0.306,0.348,0.241,0.26,0.318,0.221,0.289,0.22,0.293,0.362,0.318,0.27,0.324,0.269,0.305,0.197,0.308,0.401,0.309,0.311,0.3,0.256,0.319,0.286,0.418,0.413,0.347,0.296,0.325,0.105,0.293,0.27,0.254,0.365,0.404,0.375,0.293,0.296,0.409,0.308,0.275,0.359,0.399,0.344,0.344,0.297,0.367,0.255,0.288,0.389,0.366
1.75,0.416,0.416,0.371,0.385,0.351,0.385,0.444,0.083,0.306,0.275,0.302,0.342,0.272,0.135,0.359,0.249,0.448,0.322,0.339,0.371,0.256,0.359,0.285,0.246,0.362,0.329,0.33,0.256,0.276,0.263,0.427,0.237,0.357,0.312,0.311,0.328,0.255,0.303,0.298,0.271,0.347,0.307,0.264,0.358,0.342,0.335,0.393,0.286,0.29,0.357,0.266,0.317,0.26,0.324,0.412,0.359,0.298,0.366,0.295,0.345,0.24,0.35,0.437,0.352,0.363,0.336,0.285,0.351,0.321,0.471,0.46,0.398,0.32,0.37,0.1,0.33,0.302,0.308,0.412,0.458,0.428,0.331,0.336,0.46,0.353,0.306,0.404,0.454,0.391,0.39,0.337,0.417,0.281,0.327,0.431,0.425
2,0.462,0.471,0.423,0.443,0.416,0.446,0.487,0.083,0.358,0.305,0.345,0.388,0.302,0.135,0.425,0.304,0.492,0.352,0.381,0.435,0.338,0.399,0.317,0.299,0.408,0.392,0.373,0.283,0.302,0.289,0.461,0.285,0.418,0.35,0.357,0.382,0.313,0.344,0.328,0.339,0.396,0.349,0.298,0.417,0.38,0.369,0.429,0.35,0.322,0.403,0.297,0.354,0.281,0.36,0.455,0.418,0.332,0.419,0.327,0.406,0.275,0.41,0.474,0.414,0.403,0.39,0.317,0.386,0.37,0.526,0.496,0.445,0.351,0.427,0.095,0.383,0.355,0.395,0.454,0.502,0.478,0.38,0.398,0.496,0.417,0.35,0.445,0.495,0.444,0.455,0.4,0.472,0.319,0.382,0.462,0.469
2.25,0.506,0.512,0.463,0.48,0.46,0.488,0.537,0.083,0.4,0.344,0.413,0.442,0.341,0.134,0.469,0.38,0.542,0.396,0.436,0.482,0.383,0.438,0.357,0.373,0.452,0.437,0.424,0.318,0.332,0.324,0.5,0.345,0.461,0.394,0.408,0.434,0.391,0.412,0.365,0.363,0.454,0.408,0.354,0.466,0.422,0.406,0.462,0.432,0.364,0.459,0.338,0.403,0.306,0.403,0.495,0.458,0.372,0.467,0.372,0.457,0.313,0.448,0.512,0.453,0.444,0.437,0.359,0.436,0.427,0.566,0.535,0.485,0.376,0.503,0.094,0.448,0.397,0.469,0.486,0.551,0.523,0.443,0.445,0.541,0.461,0.414,0.482,0.54,0.485,0.497,0.448,0.512,0.365,0.438,0.498,0.515
