,b4197,b4198,b4225,b4303,b4304,b3100,b3615,b3660,b4277,b4363,b4365,b0004,b0674,b0754,b0131,b3997,b1256,b1942,b1049,b1245,b2458,b0493,b2103,b0576,b0683,b2483,b1156,b0297,b0660,#N/A,b0873,b1048,#N/A,b1218,b1489,b1548,b1579,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,b2530,#N/A,#N/A,b2803,b2919,b2939,b2943,b2958,b3009,b3087,#N/A,b3116,b3117,b3121,b3124,b3126,b3127,b3134,b3212,#N/A,#N/A,b3268,#N/A,#N/A,b3483,b3490,b3504,b4455,b3643,b3647,b4556,b3683,#N/A,#N/A,b3774,b3775,b3776,b3777,b3808,b4558,b3827,b3859,b3860,b3877,b3897,b3963,#N/A,b4119,#N/A,#N/A,b4205,b4254,b4271
0,0.126,0.13,0.112,0.132,0.118,0.127,0.145,0.123,0.135,0.121,0.11,0.115,0.122,0.122,0.122,0.156,0.164,0.112,0.112,0.126,0.112,0.113,0.112,0.116,0.126,0.101,0.124,0.105,0.12,0.13,0.121,0.116,0.127,0.118,0.135,0.13,0.129,0.124,0.13,0.133,0.134,0.121,0.123,0.1,0.116,0.132,0.112,0.12,0.118,0.121,0.122,0.119,0.116,0.117,0.123,0.127,0.134,0.148,0.138,0.13,0.124,0.119,0.137,0.132,0.145,0.127,0.133,0.163,0.12,0.119,0.129,0.115,0.117,0.135,0.12,0.122,0.121,0.121,0.117,0.121,0.141,0.141,0.138,0.149,0.139,0.129,0.125,0.138,0.165,0.165,0.121,0.158,0.166,0.128,0.112,0.127
0.25,0.132,0.14,0.119,0.143,0.125,0.134,0.159,0.132,0.142,0.129,0.113,0.119,0.125,0.126,0.127,0.173,0.18,0.115,0.114,0.128,0.114,0.115,0.112,0.119,0.134,0.102,0.13,0.108,0.123,0.133,0.122,0.118,0.137,0.124,0.142,0.137,0.132,0.127,0.131,0.143,0.146,0.128,0.129,0.102,0.118,0.14,0.117,0.124,0.122,0.127,0.128,0.124,0.122,0.123,0.127,0.136,0.142,0.157,0.147,0.138,0.13,0.126,0.144,0.141,0.153,0.133,0.141,0.166,0.126,0.126,0.135,0.121,0.123,0.145,0.128,0.127,0.125,0.128,0.123,0.128,0.149,0.151,0.143,0.163,0.147,0.137,0.132,0.152,0.184,0.183,0.128,0.175,0.184,0.139,0.119,0.134
0.5,0.145,0.162,0.135,0.167,0.14,0.151,0.184,0.15,0.158,0.145,0.121,0.129,0.134,0.136,0.139,0.208,0.217,0.122,0.119,0.135,0.118,0.117,0.116,0.127,0.155,0.106,0.145,0.116,0.128,0.142,0.133,0.124,0.162,0.138,0.159,0.155,0.139,0.137,0.144,0.165,0.171,0.141,0.144,0.106,0.126,0.158,0.128,0.134,0.129,0.142,0.143,0.138,0.136,0.137,0.136,0.156,0.161,0.18,0.171,0.156,0.145,0.141,0.161,0.161,0.172,0.149,0.16,0.191,0.139,0.142,0.15,0.134,0.135,0.168,0.144,0.139,0.137,0.142,0.136,0.144,0.168,0.173,0.151,0.192,0.166,0.158,0.148,0.179,0.219,0.219,0.143,0.211,0.222,0.163,0.135,0.15
0.75,0.17,0.197,0.158,0.204,0.166,0.177,0.219,0.177,0.184,0.169,0.135,0.141,0.148,0.152,0.155,0.255,0.266,0.134,0.129,0.147,0.126,0.122,0.124,0.141,0.184,0.112,0.17,0.129,0.137,0.159,0.147,0.134,0.201,0.161,0.186,0.185,0.151,0.151,0.164,0.197,0.209,0.161,0.169,0.112,0.139,0.191,0.145,0.15,0.141,0.168,0.168,0.161,0.159,0.161,0.153,0.186,0.193,0.215,0.21,0.187,0.172,0.165,0.189,0.187,0.202,0.175,0.193,0.225,0.162,0.167,0.177,0.158,0.155,0.202,0.168,0.162,0.157,0.166,0.159,0.167,0.198,0.204,0.167,0.237,0.197,0.187,0.176,0.213,0.269,0.262,0.167,0.261,0.272,0.19,0.158,0.174
1,0.206,0.24,0.195,0.246,0.201,0.218,0.249,0.217,0.219,0.201,0.156,0.165,0.169,0.178,0.181,0.3,0.308,0.151,0.145,0.152,0.138,0.13,0.134,0.161,0.217,0.123,0.203,0.149,0.149,0.181,0.165,0.149,0.235,0.193,0.217,0.226,0.17,0.173,0.193,0.228,0.24,0.187,0.199,0.119,0.16,0.226,0.171,0.174,0.16,0.205,0.204,0.194,0.192,0.196,0.178,0.22,0.229,0.249,0.247,0.223,0.211,0.2,0.226,0.214,0.235,0.208,0.225,0.252,0.194,0.198,0.213,0.191,0.185,0.233,0.206,0.193,0.187,0.199,0.194,0.201,0.233,0.241,0.189,0.274,0.229,0.221,0.209,0.244,0.314,0.303,0.203,0.305,0.32,0.222,0.189,0.197
1.25,0.243,0.289,0.221,0.299,0.234,0.249,0.299,0.249,0.252,0.229,0.187,0.196,0.196,0.208,0.212,0.342,0.349,0.176,0.168,0.178,0.158,0.14,0.153,0.188,0.256,0.141,0.231,0.179,0.169,0.215,0.189,0.172,0.289,0.222,0.249,0.267,0.197,0.208,0.23,0.277,0.286,0.214,0.224,0.126,0.189,0.275,0.202,0.208,0.19,0.232,0.23,0.225,0.224,0.226,0.205,0.263,0.283,0.289,0.301,0.257,0.245,0.23,0.266,0.249,0.273,0.241,0.271,0.287,0.226,0.23,0.249,0.223,0.215,0.284,0.236,0.223,0.218,0.233,0.225,0.231,0.274,0.28,0.213,0.334,0.267,0.254,0.248,0.278,0.357,0.332,0.234,0.352,0.362,0.257,0.224,0.235
1.5,0.291,0.338,0.273,0.345,0.287,0.303,0.334,0.3,0.298,0.288,0.217,0.223,0.224,0.234,0.244,0.39,0.387,0.207,0.2,0.213,0.186,0.158,0.179,0.213,0.278,0.167,0.269,0.21,0.196,0.252,0.218,0.206,0.317,0.266,0.28,0.311,0.229,0.23,0.263,0.314,0.311,0.253,0.258,0.135,0.217,0.307,0.242,0.234,0.22,0.283,0.28,0.274,0.27,0.279,0.247,0.295,0.324,0.315,0.34,0.305,0.295,0.285,0.307,0.273,0.295,0.288,0.305,0.304,0.278,0.283,0.294,0.278,0.262,0.32,0.286,0.276,0.268,0.291,0.281,0.28,0.303,0.309,0.244,0.376,0.295,0.281,0.29,0.302,0.402,0.364,0.286,0.398,0.41,0.278,0.256,0.26
1.75,0.328,0.389,0.303,0.398,0.327,0.336,0.38,0.34,0.338,0.323,0.262,0.281,0.264,0.292,0.305,0.45,0.433,0.237,0.233,0.244,0.213,0.184,0.202,0.251,0.303,0.193,0.293,0.254,0.222,0.278,0.258,0.232,0.362,0.288,0.304,0.354,0.257,0.274,0.282,0.359,0.346,0.275,0.275,0.146,0.251,0.344,0.268,0.279,0.257,0.318,0.315,0.308,0.299,0.314,0.28,0.327,0.368,0.348,0.39,0.345,0.332,0.321,0.347,0.297,0.32,0.324,0.348,0.326,0.314,0.32,0.329,0.315,0.297,0.366,0.326,0.308,0.301,0.329,0.313,0.318,0.334,0.343,0.273,0.426,0.328,0.305,0.326,0.33,0.465,0.403,0.326,0.457,0.467,0.301,0.286,0.294
2,0.381,0.453,0.341,0.458,0.39,0.379,0.432,0.403,0.394,0.376,0.317,0.307,0.323,0.34,0.386,0.496,0.482,0.279,0.277,0.284,0.254,0.207,0.23,0.304,0.327,0.233,0.324,0.282,0.259,0.305,0.276,0.279,0.408,0.322,0.335,0.413,0.296,0.298,0.294,0.42,0.386,0.304,0.299,0.16,0.271,0.4,0.297,0.338,0.281,0.369,0.366,0.353,0.333,0.373,0.318,0.37,0.433,0.392,0.447,0.402,0.389,0.373,0.405,0.325,0.351,0.375,0.408,0.353,0.363,0.376,0.38,0.378,0.342,0.425,0.385,0.351,0.344,0.378,0.361,0.375,0.371,0.384,0.304,0.477,0.369,0.331,0.381,0.362,0.515,0.444,0.379,0.502,0.513,0.331,0.325,0.337
2.25,0.44,0.5,0.385,0.506,0.432,0.43,0.474,0.45,0.437,0.441,0.393,0.34,0.4,0.378,0.514,0.542,0.522,0.349,0.314,0.309,0.312,0.242,0.266,0.393,0.351,0.266,0.357,0.316,0.311,0.334,0.31,0.353,0.446,0.368,0.373,0.472,0.347,0.322,0.318,0.463,0.418,0.339,0.325,0.176,0.283,0.438,0.33,0.414,0.316,0.425,0.416,0.414,0.377,0.415,0.375,0.413,0.475,0.438,0.492,0.443,0.444,0.427,0.458,0.359,0.386,0.436,0.45,0.387,0.429,0.424,0.422,0.421,0.402,0.468,0.439,0.409,0.407,0.436,0.414,0.423,0.412,0.416,0.353,0.528,0.418,0.356,0.428,0.395,0.571,0.476,0.442,0.554,0.566,0.362,0.372,0.368
2.5,0.486,0.555,0.421,0.561,0.479,0.471,0.517,0.496,0.481,0.491,0.454,0.39,0.484,0.445,0.527,0.589,0.563,0.378,0.361,0.342,0.39,0.293,0.317,0.442,0.377,0.29,0.396,0.365,0.381,0.372,0.347,0.397,0.489,0.43,0.412,0.523,0.413,0.353,0.359,0.509,0.452,0.383,0.351,0.188,0.291,0.478,0.371,0.483,0.356,0.467,0.456,0.458,0.42,0.46,0.413,0.443,0.525,0.47,0.543,0.489,0.491,0.474,0.502,0.398,0.425,0.48,0.494,0.422,0.474,0.47,0.46,0.465,0.444,0.518,0.487,0.45,0.447,0.478,0.455,0.467,0.45,0.455,0.386,0.586,0.455,0.383,0.469,0.425,0.62,0.512,0.489,0.606,0.617,0.397,0.406,0.403
2.75,0.538,0.614,0.454,0.619,0.533,0.517,0.56,0.547,0.53,0.544,0.513,0.446,0.545,0.49,0.559,0.635,0.602,0.437,0.419,0.386,0.474,0.374,0.38,0.49,0.407,0.318,0.43,0.404,0.462,0.421,0.399,0.441,0.539,0.473,0.445,0.584,0.481,0.392,0.4,0.566,0.488,0.423,0.383,0.2,0.302,0.526,0.409,0.512,0.397,0.515,0.502,0.507,0.454,0.514,0.454,0.476,0.582,0.506,0.593,0.539,0.551,0.524,0.558,0.426,0.456,0.529,0.543,0.45,0.526,0.522,0.507,0.517,0.494,0.568,0.54,0.498,0.495,0.525,0.506,0.517,0.487,0.497,0.421,0.637,0.498,0.411,0.523,0.454,0.663,0.549,0.539,0.649,0.658,0.425,0.445,0.444
3,0.594,0.664,0.491,0.669,0.586,0.565,0.604,0.599,0.583,0.594,0.572,0.486,0.618,0.534,0.59,0.674,0.639,0.488,0.46,0.426,0.52,0.422,0.475,0.539,0.438,0.353,0.466,0.441,0.523,0.456,0.433,0.494,0.586,0.52,0.481,0.634,0.563,0.45,0.455,0.613,0.524,0.463,0.41,0.214,0.316,0.578,0.442,0.532,0.43,0.562,0.551,0.559,0.494,0.57,0.507,0.512,0.625,0.543,0.638,0.585,0.599,0.579,0.608,0.458,0.489,0.578,0.588,0.48,0.582,0.575,0.559,0.57,0.544,0.61,0.595,0.554,0.552,0.575,0.56,0.57,0.524,0.543,0.462,0.682,0.543,0.434,0.571,0.481,0.702,0.583,0.592,0.691,0.697,0.453,0.491,0.482
3.25,0.641,0.709,0.529,0.713,0.63,0.615,0.64,0.643,0.626,0.641,0.62,0.527,0.614,0.578,0.616,0.707,0.675,0.537,0.507,0.459,0.565,0.473,0.521,0.579,0.462,0.385,0.505,0.481,0.554,0.493,0.476,0.531,0.63,0.568,0.518,0.682,0.565,0.486,0.491,0.653,0.561,0.51,0.438,0.232,0.334,0.621,0.477,0.547,0.467,0.607,0.594,0.61,0.533,0.615,0.555,0.552,0.668,0.584,0.68,0.628,0.647,0.628,0.653,0.492,0.522,0.627,0.631,0.512,0.629,0.624,0.605,0.616,0.592,0.649,0.639,0.601,0.599,0.622,0.606,0.613,0.563,0.592,0.509,0.721,0.591,0.459,0.616,0.511,0.736,0.618,0.637,0.726,0.727,0.482,0.529,0.516
3.5,0.684,0.745,0.565,0.748,0.669,0.658,0.671,0.681,0.667,0.68,0.666,0.571,0.619,0.621,0.641,0.735,0.703,0.592,0.556,0.491,0.587,0.522,0.57,0.614,0.487,0.413,0.544,0.525,0.571,0.532,0.524,0.566,0.665,0.612,0.555,0.723,0.581,0.511,0.526,0.687,0.598,0.558,0.467,0.247,0.352,0.661,0.513,0.578,0.508,0.646,0.633,0.655,0.575,0.66,0.602,0.588,0.703,0.623,0.714,0.665,0.685,0.67,0.691,0.526,0.556,0.671,0.67,0.545,0.673,0.667,0.648,0.657,0.633,0.681,0.679,0.641,0.641,0.662,0.645,0.649,0.603,0.635,0.552,0.752,0.633,0.485,0.655,0.54,0.762,0.654,0.679,0.752,0.756,0.513,0.565,0.546
3.75,0.72,0.775,0.6,0.778,0.702,0.697,0.696,0.712,0.702,0.715,0.701,0.614,0.626,0.657,0.662,0.76,0.729,0.628,0.603,0.524,0.59,0.561,0.607,0.644,0.511,0.439,0.583,0.57,0.617,0.572,0.574,0.6,0.695,0.658,0.594,0.756,0.603,0.545,0.562,0.713,0.633,0.608,0.497,0.271,0.372,0.695,0.548,0.589,0.55,0.682,0.67,0.694,0.613,0.696,0.642,0.62,0.732,0.662,0.742,0.703,0.717,0.707,0.724,0.562,0.591,0.709,0.705,0.577,0.708,0.704,0.684,0.69,0.67,0.711,0.712,0.677,0.678,0.696,0.68,0.678,0.641,0.674,0.59,0.784,0.67,0.511,0.689,0.567,0.789,0.683,0.713,0.78,0.784,0.543,0.595,0.571
4,0.747,0.804,0.631,0.807,0.729,0.73,0.72,0.74,0.731,0.743,0.73,0.654,0.636,0.686,0.68,0.78,0.751,0.668,0.645,0.556,0.598,0.597,0.638,0.671,0.533,0.463,0.619,0.611,0.617,0.61,0.617,0.629,0.721,0.7,0.632,0.787,0.624,0.585,0.6,0.74,0.662,0.652,0.525,0.292,0.392,0.726,0.582,0.595,0.594,0.713,0.701,0.724,0.645,0.724,0.673,0.648,0.76,0.697,0.767,0.734,0.749,0.738,0.758,0.601,0.624,0.738,0.734,0.607,0.735,0.732,0.715,0.716,0.699,0.739,0.741,0.708,0.71,0.725,0.712,0.705,0.672,0.704,0.621,0.808,0.699,0.538,0.722,0.594,0.812,0.707,0.741,0.804,0.806,0.572,0.621,0.596
4.25,0.774,0.826,0.656,0.828,0.753,0.759,0.741,0.763,0.761,0.769,0.754,0.688,0.644,0.713,0.695,0.798,0.769,0.697,0.68,0.586,0.606,0.629,0.663,0.691,0.557,0.488,0.655,0.648,0.624,0.647,0.657,0.657,0.746,0.729,0.667,0.814,0.643,0.621,0.634,0.762,0.688,0.69,0.555,0.303,0.414,0.754,0.615,0.602,0.628,0.738,0.727,0.753,0.674,0.754,0.706,0.673,0.784,0.726,0.794,0.758,0.774,0.763,0.784,0.632,0.657,0.765,0.76,0.64,0.764,0.76,0.748,0.745,0.726,0.76,0.767,0.738,0.739,0.75,0.74,0.728,0.702,0.736,0.651,0.834,0.731,0.567,0.749,0.621,0.832,0.732,0.767,0.824,0.822,0.602,0.644,0.614
4.5,0.796,0.846,0.678,0.848,0.774,0.785,0.758,0.781,0.787,0.789,0.773,0.714,0.649,0.734,0.707,0.809,0.788,0.724,0.711,0.616,0.615,0.657,0.687,0.709,0.578,0.511,0.682,0.679,0.631,0.678,0.689,0.676,0.767,0.757,0.699,0.838,0.662,0.653,0.669,0.78,0.713,0.722,0.583,0.315,0.436,0.778,0.646,0.608,0.661,0.76,0.751,0.778,0.7,0.778,0.735,0.695,0.805,0.754,0.815,0.78,0.798,0.786,0.809,0.662,0.686,0.791,0.783,0.668,0.787,0.781,0.773,0.764,0.749,0.782,0.792,0.763,0.765,0.773,0.765,0.748,0.725,0.763,0.679,0.851,0.756,0.597,0.776,0.641,0.848,0.753,0.791,0.843,0.834,0.63,0.664,0.628
4.75,0.814,0.862,0.696,0.862,0.79,0.807,0.771,0.795,0.809,0.81,0.791,0.738,0.655,0.753,0.719,0.818,0.804,0.745,0.737,0.644,0.62,0.679,0.708,0.723,0.6,0.534,0.709,0.707,0.639,0.706,0.717,0.695,0.783,0.782,0.724,0.864,0.677,0.682,0.699,0.797,0.737,0.748,0.612,0.328,0.459,0.803,0.672,0.612,0.687,0.785,0.773,0.8,0.725,0.799,0.757,0.718,0.826,0.779,0.835,0.8,0.823,0.805,0.826,0.686,0.711,0.814,0.803,0.695,0.809,0.799,0.796,0.781,0.769,0.8,0.811,0.784,0.787,0.79,0.783,0.762,0.75,0.791,0.707,0.861,0.778,0.624,0.793,0.659,0.855,0.774,0.81,0.852,0.839,0.654,0.679,0.64
5,0.831,0.871,0.713,0.87,0.802,0.828,0.78,0.805,0.821,0.831,0.81,0.764,0.66,0.771,0.729,0.823,0.817,0.765,0.757,0.67,0.625,0.698,0.72,0.737,0.62,0.557,0.734,0.731,0.645,0.734,0.742,0.708,0.8,0.806,0.747,0.886,0.693,0.708,0.728,0.809,0.757,0.774,0.637,0.341,0.475,0.82,0.694,0.615,0.711,0.806,0.791,0.824,0.748,0.817,0.775,0.736,0.845,0.801,0.848,0.817,0.84,0.82,0.839,0.71,0.734,0.836,0.819,0.722,0.828,0.813,0.816,0.794,0.793,0.815,0.827,0.807,0.807,0.807,0.798,0.776,0.771,0.811,0.73,0.865,0.797,0.648,0.806,0.674,0.86,0.79,0.828,0.858,0.844,0.673,0.693,0.65
5.25,0.844,0.877,0.729,0.875,0.813,0.845,0.784,0.812,0.827,0.845,0.825,0.784,0.664,0.787,0.738,0.826,0.828,0.785,0.777,0.692,0.628,0.714,0.737,0.749,0.64,0.581,0.754,0.757,0.652,0.759,0.767,0.725,0.816,0.825,0.77,0.897,0.705,0.731,0.753,0.812,0.774,0.799,0.662,0.357,0.492,0.832,0.716,0.619,0.732,0.821,0.804,0.84,0.764,0.828,0.789,0.75,0.865,0.822,0.859,0.832,0.848,0.831,0.85,0.731,0.755,0.85,0.832,0.746,0.841,0.824,0.828,0.805,0.81,0.827,0.838,0.82,0.82,0.818,0.808,0.782,0.788,0.829,0.748,0.87,0.816,0.671,0.815,0.691,0.862,0.804,0.838,0.86,0.844,0.692,0.701,0.654
5.5,0.85,0.88,0.742,0.878,0.822,0.849,0.787,0.817,0.83,0.858,0.841,0.801,0.668,0.797,0.744,0.826,0.836,0.803,0.799,0.714,0.634,0.734,0.752,0.763,0.658,0.603,0.773,0.776,0.654,0.779,0.786,0.737,0.823,0.841,0.79,0.9,0.715,0.753,0.776,0.81,0.787,0.82,0.684,0.374,0.509,0.835,0.737,0.623,0.748,0.834,0.816,0.849,0.778,0.833,0.798,0.761,0.868,0.842,0.866,0.845,0.849,0.838,0.854,0.75,0.773,0.859,0.843,0.766,0.845,0.83,0.834,0.808,0.82,0.84,0.844,0.829,0.826,0.826,0.815,0.785,0.803,0.834,0.762,0.869,0.824,0.691,0.817,0.704,0.863,0.812,0.844,0.86,0.846,0.71,0.707,0.656
5.75,0.852,0.879,0.755,0.878,0.825,0.848,0.789,0.818,0.834,0.868,0.853,0.82,0.672,0.806,0.746,0.826,0.84,0.815,0.82,0.735,0.636,0.749,0.765,0.773,0.676,0.624,0.788,0.792,0.654,0.8,0.803,0.747,0.824,0.85,0.807,0.9,0.725,0.774,0.796,0.808,0.798,0.834,0.703,0.39,0.524,0.832,0.753,0.623,0.762,0.845,0.826,0.852,0.791,0.833,0.803,0.769,0.863,0.857,0.865,0.854,0.845,0.84,0.852,0.764,0.791,0.865,0.851,0.784,0.846,0.831,0.833,0.812,0.823,0.847,0.849,0.832,0.825,0.831,0.814,0.787,0.814,0.833,0.769,0.863,0.829,0.711,0.813,0.713,0.862,0.818,0.848,0.863,0.843,0.725,0.71,0.658
