,b2961,#N/A,b3066,b3322,b3387,b3635,b3651,b3700,b3740,b3741,b3742,b3811,b0123,b0251,b0986,b1013,b1033,b1328,b1499,b1511,b2110,b2336,b2338,b0050,b0622,b1068,b1352,b1376,b1543,b1561,b1562,b1563,b1780,b1815,b0128,b0200,b0818,b1110,b1410,b1450,b1454,b1501,b1535,b1629,b1678,b1681,b1795,b1985,b2069,b2075,b1103,b0710,b1688,b0268,b0269,b2174,b0545,b1242,b0328,b0272,b0286,b1686,b1518,b1971,b1703,b1784,b2147,b0138,b4505,b0371,b0392,b0461,b0498,b0625,b0791,b0916,b1149,b1675,b1972,#N/A,b2003,b2004,b2005,#N/A,b2032,b2034,b2070,b2071,b2072,b2111,b2170,b2294,b2334,b2347,b2359,b2362
0,0.115,0.167,0.11,0.138,0.12,0.123,0.112,0.195,0.099,0.124,0.148,0.134,0.167,0.13,0.134,0.115,0.102,0.156,0.135,0.11,0.2,0.137,0.12,0.111,0.114,0.13,0.133,0.127,0.111,0.123,0.113,0.117,0.107,0.114,0.146,0.128,0.114,0.109,0.115,0.118,0.11,0.11,0.145,0.128,0.116,0.11,0.113,0.111,0.113,0.108,0.112,0.109,0.109,0.113,0.125,0.113,0.114,0.109,0.15,0.117,0.122,0.112,0.123,0.119,0.115,0.107,0.128,0.122,0.125,0.119,0.11,0.118,0.106,0.112,0.127,0.117,0.106,0.102,0.113,0.13,0.111,0.115,0.133,0.118,0.111,0.116,0.136,0.118,0.122,0.12,0.141,0.111,0.123,0.118,0.085,0.127
0.25,0.126,0.19,0.116,0.155,0.128,0.128,0.116,0.212,0.102,0.135,0.159,0.148,0.178,0.137,0.141,0.118,0.107,0.178,0.15,0.115,0.226,0.151,0.129,0.114,0.123,0.141,0.148,0.139,0.116,0.13,0.121,0.119,0.115,0.123,0.163,0.135,0.122,0.113,0.119,0.122,0.117,0.113,0.157,0.14,0.121,0.117,0.115,0.113,0.122,0.11,0.116,0.116,0.114,0.119,0.134,0.118,0.124,0.114,0.166,0.126,0.13,0.12,0.135,0.126,0.127,0.113,0.139,0.131,0.134,0.128,0.116,0.126,0.113,0.12,0.139,0.126,0.112,0.107,0.121,0.141,0.117,0.122,0.142,0.127,0.116,0.126,0.145,0.129,0.133,0.131,0.158,0.119,0.134,0.129,0.086,0.138
0.5,0.15,0.23,0.129,0.193,0.146,0.141,0.128,0.245,0.109,0.157,0.186,0.172,0.199,0.153,0.157,0.129,0.117,0.217,0.185,0.127,0.277,0.182,0.148,0.122,0.141,0.167,0.179,0.165,0.127,0.147,0.138,0.13,0.133,0.143,0.2,0.153,0.138,0.123,0.129,0.13,0.134,0.122,0.186,0.167,0.131,0.135,0.124,0.121,0.141,0.119,0.128,0.131,0.123,0.137,0.155,0.128,0.142,0.126,0.204,0.148,0.15,0.138,0.16,0.14,0.143,0.129,0.164,0.153,0.156,0.147,0.13,0.141,0.128,0.137,0.165,0.146,0.125,0.118,0.137,0.161,0.133,0.14,0.162,0.149,0.129,0.146,0.164,0.148,0.154,0.154,0.193,0.137,0.157,0.15,0.085,0.16
0.75,0.185,0.279,0.152,0.243,0.173,0.167,0.148,0.287,0.121,0.191,0.223,0.2,0.232,0.18,0.182,0.143,0.134,0.271,0.232,0.149,0.323,0.223,0.182,0.138,0.17,0.209,0.228,0.203,0.146,0.176,0.169,0.147,0.16,0.177,0.253,0.177,0.166,0.143,0.147,0.14,0.158,0.136,0.23,0.208,0.151,0.165,0.142,0.14,0.168,0.135,0.148,0.155,0.14,0.167,0.187,0.137,0.171,0.147,0.25,0.186,0.187,0.17,0.201,0.169,0.172,0.156,0.197,0.187,0.188,0.179,0.152,0.166,0.155,0.164,0.208,0.179,0.149,0.137,0.166,0.193,0.157,0.169,0.194,0.183,0.148,0.178,0.191,0.178,0.185,0.192,0.238,0.166,0.191,0.183,0.085,0.191
1,0.219,0.308,0.185,0.293,0.195,0.197,0.179,0.328,0.141,0.227,0.26,0.232,0.266,0.216,0.22,0.167,0.158,0.302,0.274,0.178,0.351,0.251,0.217,0.163,0.201,0.246,0.275,0.237,0.173,0.207,0.206,0.168,0.199,0.212,0.312,0.207,0.2,0.171,0.174,0.163,0.186,0.158,0.269,0.25,0.18,0.205,0.168,0.158,0.204,0.158,0.177,0.192,0.168,0.208,0.23,0.158,0.204,0.176,0.31,0.228,0.226,0.209,0.244,0.203,0.209,0.195,0.23,0.221,0.236,0.217,0.187,0.2,0.193,0.201,0.255,0.218,0.183,0.166,0.206,0.231,0.193,0.211,0.223,0.219,0.178,0.213,0.232,0.209,0.213,0.231,0.279,0.209,0.229,0.217,0.086,0.223
1.25,0.27,0.34,0.227,0.326,0.246,0.229,0.211,0.362,0.169,0.275,0.316,0.281,0.318,0.249,0.252,0.205,0.187,0.336,0.305,0.21,0.386,0.287,0.259,0.192,0.241,0.298,0.308,0.29,0.203,0.24,0.246,0.207,0.228,0.26,0.351,0.233,0.232,0.206,0.209,0.191,0.215,0.19,0.298,0.294,0.209,0.245,0.204,0.187,0.242,0.193,0.211,0.23,0.204,0.249,0.273,0.192,0.244,0.208,0.349,0.286,0.276,0.251,0.285,0.229,0.244,0.227,0.281,0.263,0.276,0.257,0.22,0.237,0.223,0.231,0.288,0.254,0.214,0.196,0.24,0.276,0.219,0.243,0.262,0.267,0.214,0.259,0.261,0.25,0.252,0.288,0.313,0.249,0.273,0.265,0.085,0.264
1.5,0.305,0.382,0.262,0.372,0.274,0.276,0.251,0.403,0.197,0.321,0.348,0.314,0.374,0.309,0.299,0.229,0.225,0.381,0.336,0.25,0.433,0.31,0.289,0.221,0.28,0.338,0.347,0.318,0.243,0.27,0.289,0.228,0.269,0.29,0.412,0.273,0.265,0.241,0.238,0.215,0.25,0.217,0.328,0.329,0.245,0.288,0.227,0.218,0.276,0.216,0.245,0.271,0.24,0.289,0.311,0.215,0.278,0.248,0.408,0.326,0.313,0.296,0.317,0.278,0.29,0.273,0.319,0.3,0.325,0.288,0.27,0.294,0.266,0.278,0.324,0.292,0.266,0.238,0.288,0.312,0.268,0.291,0.329,0.307,0.26,0.292,0.307,0.295,0.281,0.326,0.348,0.303,0.312,0.306,0.085,0.302
1.75,0.351,0.432,0.307,0.423,0.316,0.34,0.286,0.45,0.242,0.37,0.398,0.359,0.422,0.386,0.366,0.28,0.251,0.434,0.371,0.279,0.477,0.339,0.32,0.271,0.31,0.39,0.395,0.357,0.276,0.309,0.324,0.276,0.297,0.322,0.455,0.309,0.29,0.269,0.279,0.252,0.272,0.246,0.365,0.385,0.298,0.336,0.277,0.267,0.305,0.263,0.295,0.309,0.268,0.333,0.358,0.254,0.309,0.275,0.456,0.381,0.365,0.34,0.35,0.308,0.33,0.302,0.372,0.342,0.375,0.323,0.298,0.331,0.296,0.307,0.37,0.323,0.303,0.265,0.326,0.35,0.293,0.326,0.355,0.349,0.288,0.323,0.336,0.329,0.306,0.387,0.387,0.347,0.352,0.352,0.085,0.338
2,0.406,0.481,0.373,0.463,0.368,0.38,0.332,0.481,0.268,0.409,0.469,0.397,0.499,0.441,0.398,0.355,0.275,0.475,0.408,0.31,0.514,0.375,0.36,0.333,0.353,0.432,0.431,0.402,0.321,0.362,0.378,0.341,0.339,0.365,0.503,0.355,0.326,0.298,0.308,0.276,0.301,0.264,0.412,0.428,0.326,0.393,0.346,0.292,0.342,0.334,0.335,0.365,0.302,0.398,0.414,0.281,0.344,0.311,0.503,0.441,0.415,0.392,0.394,0.345,0.378,0.341,0.419,0.394,0.44,0.361,0.344,0.388,0.335,0.345,0.416,0.363,0.357,0.3,0.384,0.398,0.327,0.379,0.39,0.403,0.324,0.366,0.372,0.371,0.342,0.434,0.428,0.405,0.402,0.399,0.086,0.378
2.25,0.447,0.515,0.421,0.508,0.414,0.449,0.391,0.518,0.295,0.454,0.517,0.43,0.547,0.505,0.439,0.386,0.307,0.517,0.45,0.349,0.554,0.402,0.409,0.369,0.385,0.479,0.47,0.44,0.383,0.4,0.418,0.43,0.377,0.4,0.554,0.388,0.362,0.33,0.344,0.288,0.335,0.278,0.446,0.472,0.369,0.44,0.428,0.325,0.381,0.358,0.388,0.405,0.337,0.446,0.456,0.31,0.383,0.358,0.551,0.491,0.461,0.435,0.426,0.39,0.423,0.382,0.469,0.433,0.49,0.41,0.396,0.432,0.372,0.388,0.454,0.401,0.397,0.336,0.432,0.432,0.365,0.418,0.441,0.445,0.377,0.402,0.412,0.407,0.373,0.48,0.458,0.45,0.439,0.442,0.085,0.407
