,b3242,#N/A,b3945,b3910,b3890,b3856,b3755,b3662,#N/A,b3491,b3395,b3279,b4135,b4188,b4243,b4269,b4310,b4342,b4345,b4352,b4357,b4467,b3709,#N/A,b0301,b0306,b0435,b4415,b1025,b1028,b1152,b1155,b1206,b4529,b1455,b1856,#N/A,b1995,#N/A,b2286,b2353,b2357,#N/A,b2641,b2809,b3119,b4480,b0499,b0073,b0143,#N/A,b0229,b0230,b0258,b0362,b0561,b0685,#N/A,b0855,b0868,b1113,b1193,b1336,b1426,b1477,b1522,b1597,b1648,b1701,b1821,b1857,b1956,b1978,b2015,b2027,b2085,b2138,b2190,b2269,b2330,b2545,b2709,b2757,b2771,b2859,b2891,b2981,b3010,b3101,#N/A,b3876,b3830,b3826,b3822,b3781,b3748
0,0.166,0.129,0.142,0.115,0.155,0.143,0.119,0.135,0.178,0.131,0.148,0.117,0.18,0.161,0.116,0.144,0.164,0.129,0.151,0.122,0.163,0.181,0.123,0.159,0.196,0.127,0.128,0.118,0.159,0.164,0.116,0.172,0.178,0.123,0.16,0.13,0.132,0.15,0.124,0.158,0.228,0.134,0.122,0.127,0.133,0.178,0.136,0.143,0.151,0.131,0.135,0.125,0.126,0.144,0.135,0.142,0.163,0.147,0.132,0.143,0.125,0.186,0.119,0.149,0.16,0.15,0.142,0.133,0.129,0.153,0.149,0.142,0.153,0.145,0.144,0.142,0.127,0.136,0.129,0.128,0.132,0.167,0.143,0.183,0.123,0.123,0.132,0.121,0.157,0.158,0.148,0.139,0.131,0.169,0.159,0.136
0.25,0.178,0.136,0.151,0.119,0.161,0.148,0.124,0.148,0.186,0.136,0.153,0.122,0.187,0.171,0.121,0.159,0.17,0.133,0.156,0.126,0.17,0.189,0.128,0.174,0.211,0.13,0.133,0.123,0.17,0.17,0.12,0.182,0.193,0.129,0.167,0.134,0.138,0.156,0.133,0.177,0.252,0.142,0.127,0.132,0.138,0.185,0.146,0.154,0.162,0.137,0.14,0.133,0.132,0.15,0.146,0.155,0.174,0.153,0.136,0.148,0.132,0.191,0.124,0.164,0.167,0.156,0.149,0.139,0.133,0.158,0.159,0.157,0.16,0.152,0.148,0.147,0.133,0.142,0.134,0.135,0.137,0.181,0.152,0.191,0.131,0.126,0.137,0.126,0.174,0.168,0.154,0.15,0.141,0.179,0.177,0.15
0.5,0.204,0.149,0.167,0.13,0.18,0.162,0.136,0.172,0.201,0.148,0.172,0.133,0.204,0.192,0.133,0.187,0.184,0.144,0.169,0.137,0.188,0.209,0.141,0.204,0.245,0.139,0.145,0.134,0.178,0.185,0.13,0.208,0.225,0.143,0.187,0.147,0.153,0.169,0.151,0.212,0.297,0.159,0.139,0.142,0.155,0.202,0.166,0.18,0.188,0.155,0.15,0.148,0.143,0.162,0.164,0.183,0.198,0.17,0.149,0.16,0.146,0.203,0.137,0.195,0.184,0.168,0.164,0.153,0.145,0.17,0.178,0.184,0.178,0.169,0.159,0.161,0.147,0.155,0.144,0.15,0.148,0.211,0.172,0.212,0.146,0.135,0.149,0.137,0.204,0.19,0.169,0.171,0.162,0.203,0.207,0.176
0.75,0.241,0.167,0.19,0.145,0.199,0.183,0.15,0.201,0.225,0.168,0.196,0.147,0.232,0.224,0.149,0.222,0.207,0.162,0.189,0.153,0.217,0.239,0.159,0.244,0.289,0.154,0.163,0.152,0.198,0.206,0.144,0.245,0.27,0.164,0.211,0.167,0.177,0.191,0.176,0.25,0.341,0.185,0.156,0.158,0.18,0.228,0.197,0.214,0.222,0.179,0.167,0.173,0.166,0.182,0.198,0.22,0.234,0.196,0.17,0.18,0.168,0.229,0.157,0.235,0.208,0.189,0.184,0.176,0.162,0.19,0.208,0.218,0.205,0.194,0.178,0.182,0.164,0.175,0.159,0.173,0.165,0.251,0.202,0.244,0.17,0.147,0.167,0.154,0.244,0.218,0.192,0.2,0.191,0.237,0.247,0.208
1,0.275,0.197,0.228,0.168,0.232,0.215,0.181,0.229,0.254,0.197,0.224,0.172,0.261,0.255,0.173,0.257,0.24,0.188,0.221,0.178,0.248,0.269,0.184,0.282,0.33,0.175,0.191,0.178,0.244,0.238,0.166,0.279,0.307,0.196,0.241,0.198,0.213,0.221,0.211,0.28,0.389,0.223,0.183,0.184,0.217,0.269,0.229,0.247,0.255,0.212,0.192,0.209,0.19,0.211,0.23,0.257,0.263,0.232,0.202,0.206,0.203,0.255,0.187,0.273,0.242,0.222,0.213,0.208,0.186,0.221,0.239,0.251,0.238,0.227,0.206,0.215,0.189,0.205,0.183,0.207,0.191,0.29,0.236,0.273,0.205,0.163,0.196,0.177,0.276,0.247,0.226,0.231,0.224,0.269,0.286,0.239
1.25,0.317,0.223,0.263,0.196,0.274,0.244,0.216,0.279,0.296,0.225,0.269,0.199,0.305,0.304,0.201,0.294,0.276,0.218,0.25,0.206,0.292,0.32,0.214,0.318,0.364,0.205,0.219,0.204,0.27,0.273,0.197,0.307,0.339,0.225,0.273,0.226,0.243,0.252,0.246,0.299,0.429,0.255,0.212,0.212,0.249,0.293,0.266,0.286,0.301,0.241,0.219,0.234,0.216,0.24,0.269,0.292,0.309,0.265,0.231,0.235,0.234,0.297,0.217,0.308,0.278,0.249,0.24,0.237,0.216,0.248,0.292,0.291,0.279,0.257,0.234,0.242,0.219,0.232,0.208,0.235,0.219,0.325,0.28,0.317,0.233,0.185,0.224,0.205,0.316,0.275,0.26,0.278,0.262,0.312,0.318,0.286
1.5,0.348,0.274,0.303,0.235,0.304,0.293,0.259,0.312,0.335,0.279,0.306,0.237,0.335,0.338,0.241,0.323,0.314,0.268,0.296,0.257,0.322,0.355,0.26,0.349,0.4,0.238,0.264,0.253,0.311,0.308,0.232,0.337,0.369,0.273,0.292,0.276,0.286,0.289,0.278,0.314,0.477,0.294,0.253,0.258,0.29,0.321,0.301,0.313,0.334,0.284,0.267,0.279,0.26,0.294,0.298,0.319,0.343,0.305,0.276,0.271,0.281,0.322,0.262,0.34,0.312,0.29,0.274,0.282,0.252,0.289,0.328,0.32,0.309,0.295,0.275,0.282,0.273,0.274,0.254,0.276,0.267,0.353,0.311,0.346,0.278,0.204,0.268,0.242,0.35,0.308,0.298,0.31,0.295,0.342,0.351,0.319
1.75,0.386,0.304,0.333,0.277,0.333,0.324,0.286,0.35,0.368,0.31,0.336,0.272,0.372,0.379,0.272,0.361,0.349,0.299,0.325,0.286,0.352,0.392,0.289,0.387,0.447,0.28,0.289,0.282,0.331,0.335,0.266,0.374,0.404,0.299,0.311,0.304,0.315,0.31,0.307,0.324,0.533,0.322,0.278,0.288,0.318,0.351,0.332,0.339,0.372,0.313,0.294,0.306,0.283,0.325,0.327,0.352,0.384,0.335,0.302,0.291,0.308,0.346,0.29,0.379,0.343,0.318,0.295,0.31,0.278,0.317,0.363,0.355,0.339,0.32,0.304,0.305,0.294,0.298,0.284,0.301,0.295,0.386,0.346,0.38,0.31,0.23,0.292,0.263,0.393,0.336,0.328,0.345,0.324,0.379,0.391,0.361
2,0.429,0.343,0.375,0.309,0.371,0.364,0.32,0.403,0.409,0.345,0.378,0.303,0.417,0.435,0.3,0.402,0.392,0.333,0.36,0.319,0.392,0.444,0.321,0.436,0.502,0.306,0.317,0.308,0.364,0.365,0.294,0.413,0.444,0.329,0.335,0.34,0.355,0.333,0.343,0.33,0.576,0.355,0.303,0.315,0.351,0.387,0.378,0.369,0.418,0.349,0.322,0.343,0.312,0.363,0.36,0.384,0.442,0.374,0.334,0.318,0.339,0.381,0.324,0.425,0.376,0.346,0.321,0.341,0.3,0.348,0.41,0.392,0.375,0.354,0.336,0.335,0.33,0.326,0.315,0.334,0.328,0.418,0.389,0.422,0.35,0.246,0.319,0.288,0.444,0.37,0.367,0.392,0.364,0.421,0.431,0.411
2.25,0.48,0.395,0.423,0.352,0.414,0.413,0.353,0.444,0.466,0.391,0.434,0.339,0.472,0.478,0.339,0.451,0.452,0.376,0.407,0.36,0.446,0.492,0.359,0.484,0.544,0.341,0.352,0.343,0.408,0.398,0.329,0.462,0.486,0.365,0.358,0.385,0.404,0.357,0.383,0.338,0.619,0.392,0.329,0.348,0.387,0.439,0.424,0.401,0.474,0.396,0.357,0.398,0.349,0.423,0.397,0.431,0.482,0.423,0.373,0.349,0.377,0.419,0.369,0.476,0.419,0.376,0.354,0.383,0.325,0.389,0.467,0.438,0.417,0.389,0.377,0.37,0.373,0.358,0.356,0.371,0.369,0.456,0.444,0.472,0.401,0.263,0.352,0.317,0.483,0.411,0.413,0.436,0.411,0.474,0.473,0.452
2.5,0.519,0.441,0.474,0.408,0.462,0.466,0.394,0.486,0.501,0.451,0.474,0.392,0.511,0.516,0.389,0.489,0.494,0.436,0.46,0.418,0.485,0.533,0.404,0.527,0.587,0.393,0.393,0.38,0.465,0.441,0.368,0.499,0.523,0.405,0.384,0.439,0.454,0.385,0.431,0.345,0.662,0.441,0.356,0.388,0.435,0.476,0.461,0.444,0.518,0.428,0.404,0.433,0.392,0.471,0.433,0.467,0.522,0.47,0.42,0.383,0.431,0.464,0.419,0.519,0.47,0.402,0.386,0.434,0.353,0.438,0.504,0.475,0.468,0.438,0.429,0.409,0.426,0.394,0.413,0.42,0.426,0.499,0.484,0.509,0.439,0.287,0.389,0.348,0.526,0.459,0.465,0.473,0.445,0.514,0.507,0.493
