,b1494,b1766,b1829,b1830,b1845,#N/A,b2023,b2081,#N/A,b2328,b2385,b2491,b2523,b2699,b2718,b2717,b2742,b2753,b2821,b2872,b2936,b2944,b2972,b2993,b3131,b3129,b3158,b3182,b3234,#N/A,b3958,b3931,b3932,b3898,b3847,#N/A,b3795,b3693,#N/A,b3536,b3527,b3498,b3469,b3447,b3396,b3335,b4021,b4173,b4174,b4175,b4260,#N/A,b4328,b4389,b2163,b2165,b2181,b2225,b2226,#N/A,#N/A,b2229,b2230,b2238,b2244,b4543,b2245,#N/A,b2256,b4544,#N/A,b2272,b2275,b2291,b2299,b2305,b2325,b2333,b2335,b2354,b2356,b2358,b2360,b2361,#N/A,b2375,b2390,b2398,b2399,b2419,b2432,b2433,b2439,b2451,b2459,b2460
0,0.111,0.1,0.12,0.118,0.115,0.11,0.11,0.13,0.113,0.115,0.106,0.105,0.097,0.109,0.101,0.117,0.106,0.106,0.107,0.104,0.105,0.103,0.106,0.116,0.104,0.106,0.101,0.101,0.116,0.109,0.113,0.122,0.127,0.1,0.099,0.101,0.105,0.106,0.106,0.125,0.107,0.103,0.098,0.104,0.12,0.11,0.107,0.107,0.103,0.106,0.099,0.106,0.11,0.123,0.1,0.121,0.11,0.107,0.097,0.107,0.101,0.104,0.099,0.11,0.11,0.105,0.098,0.107,0.109,0.119,0.107,0.107,0.113,0.101,0.1,0.117,0.105,0.122,0.108,0.105,0.117,0.105,0.108,0.113,0.106,0.119,0.111,0.114,0.085,0.136,0.126,0.14,0.13,0.12,0.123,0.138
0.25,0.116,0.101,0.123,0.124,0.121,0.111,0.111,0.139,0.115,0.121,0.107,0.109,0.099,0.112,0.102,0.118,0.109,0.109,0.111,0.107,0.108,0.108,0.106,0.117,0.108,0.109,0.104,0.103,0.121,0.114,0.115,0.129,0.135,0.103,0.102,0.103,0.107,0.108,0.11,0.128,0.11,0.106,0.1,0.106,0.122,0.11,0.11,0.11,0.108,0.108,0.101,0.11,0.115,0.131,0.103,0.127,0.114,0.108,0.099,0.11,0.103,0.107,0.102,0.112,0.112,0.107,0.099,0.11,0.113,0.122,0.111,0.107,0.117,0.103,0.103,0.123,0.109,0.128,0.114,0.106,0.123,0.109,0.113,0.119,0.11,0.125,0.116,0.118,0.085,0.147,0.128,0.15,0.141,0.123,0.13,0.151
0.5,0.124,0.102,0.127,0.136,0.132,0.113,0.112,0.155,0.116,0.132,0.108,0.116,0.102,0.118,0.103,0.12,0.112,0.116,0.122,0.115,0.114,0.12,0.107,0.119,0.114,0.115,0.111,0.109,0.133,0.124,0.122,0.14,0.149,0.108,0.109,0.108,0.11,0.113,0.12,0.136,0.117,0.112,0.105,0.111,0.128,0.12,0.118,0.115,0.116,0.113,0.107,0.119,0.126,0.144,0.11,0.139,0.122,0.113,0.104,0.119,0.109,0.113,0.108,0.116,0.113,0.112,0.104,0.118,0.122,0.131,0.119,0.107,0.125,0.107,0.11,0.134,0.118,0.142,0.124,0.107,0.134,0.119,0.123,0.131,0.12,0.138,0.125,0.124,0.085,0.168,0.13,0.169,0.161,0.128,0.141,0.177
0.75,0.138,0.104,0.134,0.152,0.148,0.117,0.113,0.178,0.117,0.148,0.109,0.127,0.106,0.129,0.104,0.122,0.116,0.127,0.137,0.127,0.125,0.135,0.108,0.121,0.124,0.125,0.123,0.119,0.151,0.141,0.136,0.157,0.171,0.118,0.119,0.116,0.115,0.121,0.136,0.146,0.128,0.121,0.115,0.122,0.136,0.134,0.13,0.121,0.128,0.121,0.116,0.133,0.144,0.163,0.122,0.157,0.135,0.121,0.113,0.133,0.118,0.124,0.118,0.121,0.115,0.119,0.111,0.13,0.136,0.145,0.131,0.107,0.136,0.113,0.12,0.152,0.13,0.165,0.14,0.107,0.15,0.133,0.139,0.15,0.134,0.156,0.138,0.133,0.085,0.201,0.132,0.197,0.189,0.134,0.158,0.207
1,0.162,0.106,0.143,0.177,0.174,0.122,0.113,0.21,0.119,0.171,0.11,0.14,0.111,0.145,0.105,0.123,0.123,0.143,0.161,0.143,0.142,0.162,0.109,0.124,0.138,0.14,0.139,0.134,0.177,0.165,0.159,0.184,0.205,0.131,0.133,0.128,0.123,0.133,0.16,0.161,0.145,0.135,0.129,0.137,0.151,0.155,0.148,0.13,0.146,0.136,0.13,0.153,0.172,0.199,0.139,0.185,0.153,0.134,0.126,0.153,0.131,0.141,0.134,0.129,0.116,0.131,0.123,0.147,0.156,0.167,0.149,0.108,0.153,0.123,0.135,0.178,0.15,0.198,0.165,0.108,0.176,0.155,0.165,0.179,0.158,0.185,0.158,0.148,0.085,0.234,0.137,0.229,0.223,0.143,0.183,0.24
1.25,0.192,0.111,0.156,0.203,0.202,0.129,0.115,0.243,0.121,0.197,0.111,0.161,0.12,0.172,0.106,0.126,0.134,0.17,0.189,0.168,0.17,0.193,0.112,0.128,0.162,0.163,0.164,0.158,0.2,0.192,0.187,0.207,0.231,0.155,0.155,0.148,0.138,0.154,0.186,0.185,0.173,0.158,0.15,0.162,0.176,0.179,0.174,0.144,0.169,0.161,0.153,0.184,0.199,0.221,0.168,0.213,0.184,0.154,0.147,0.184,0.153,0.169,0.16,0.142,0.119,0.151,0.141,0.175,0.186,0.197,0.176,0.107,0.181,0.14,0.162,0.207,0.175,0.224,0.19,0.11,0.203,0.186,0.195,0.209,0.186,0.214,0.187,0.17,0.085,0.276,0.143,0.259,0.263,0.156,0.207,0.274
1.5,0.216,0.117,0.178,0.247,0.241,0.142,0.116,0.284,0.123,0.233,0.113,0.18,0.134,0.195,0.108,0.129,0.151,0.196,0.23,0.194,0.194,0.23,0.116,0.135,0.187,0.19,0.189,0.185,0.244,0.234,0.22,0.25,0.277,0.181,0.18,0.179,0.163,0.182,0.219,0.205,0.197,0.184,0.175,0.187,0.201,0.213,0.205,0.168,0.202,0.186,0.179,0.206,0.243,0.269,0.191,0.258,0.209,0.179,0.172,0.21,0.174,0.194,0.184,0.162,0.122,0.181,0.17,0.201,0.216,0.227,0.199,0.107,0.204,0.168,0.186,0.244,0.201,0.265,0.226,0.112,0.243,0.217,0.233,0.249,0.222,0.259,0.211,0.196,0.085,0.314,0.153,0.305,0.301,0.178,0.245,0.304
1.75,0.252,0.127,0.19,0.295,0.276,0.162,0.118,0.336,0.128,0.276,0.117,0.207,0.158,0.24,0.111,0.135,0.177,0.237,0.272,0.234,0.236,0.269,0.123,0.147,0.22,0.22,0.225,0.225,0.288,0.273,0.264,0.288,0.318,0.218,0.214,0.206,0.184,0.209,0.257,0.241,0.239,0.222,0.21,0.23,0.239,0.264,0.251,0.185,0.244,0.23,0.217,0.252,0.288,0.314,0.234,0.298,0.254,0.211,0.207,0.254,0.207,0.237,0.228,0.185,0.128,0.205,0.196,0.247,0.261,0.274,0.24,0.107,0.245,0.19,0.226,0.295,0.237,0.31,0.277,0.116,0.292,0.26,0.269,0.284,0.265,0.3,0.247,0.223,0.085,0.369,0.172,0.353,0.356,0.202,0.281,0.347
2,0.292,0.144,0.214,0.351,0.327,0.186,0.122,0.375,0.135,0.325,0.122,0.233,0.177,0.291,0.116,0.142,0.197,0.272,0.324,0.271,0.272,0.319,0.134,0.165,0.257,0.252,0.253,0.26,0.34,0.327,0.311,0.338,0.37,0.261,0.254,0.246,0.223,0.246,0.304,0.271,0.275,0.266,0.247,0.266,0.276,0.31,0.298,0.216,0.296,0.269,0.256,0.301,0.343,0.364,0.272,0.346,0.297,0.24,0.25,0.303,0.239,0.274,0.263,0.211,0.136,0.245,0.24,0.293,0.307,0.324,0.285,0.106,0.289,0.232,0.27,0.344,0.28,0.364,0.323,0.122,0.34,0.308,0.321,0.34,0.317,0.353,0.287,0.254,0.085,0.413,0.195,0.392,0.402,0.229,0.33,0.389
2.25,0.349,0.169,0.251,0.394,0.375,0.215,0.13,0.4,0.147,0.377,0.132,0.261,0.214,0.345,0.124,0.154,0.233,0.325,0.374,0.33,0.327,0.368,0.152,0.188,0.303,0.295,0.304,0.311,0.367,0.376,0.361,0.378,0.408,0.314,0.306,0.293,0.262,0.283,0.354,0.314,0.329,0.317,0.295,0.32,0.33,0.348,0.345,0.261,0.338,0.327,0.311,0.355,0.381,0.388,0.33,0.38,0.351,0.26,0.302,0.358,0.285,0.33,0.316,0.249,0.151,0.285,0.286,0.349,0.35,0.367,0.334,0.106,0.337,0.275,0.322,0.372,0.329,0.405,0.351,0.133,0.379,0.363,0.372,0.389,0.368,0.394,0.338,0.292,0.085,0.439,0.216,0.414,0.434,0.262,0.375,0.405
2.5,0.387,0.191,0.298,0.403,0.404,0.262,0.141,0.412,0.164,0.414,0.145,0.296,0.259,0.384,0.136,0.171,0.289,0.377,0.405,0.378,0.372,0.404,0.175,0.208,0.35,0.35,0.36,0.365,0.38,0.412,0.394,0.391,0.418,0.362,0.361,0.351,0.311,0.332,0.383,0.357,0.378,0.363,0.352,0.37,0.375,0.364,0.375,0.307,0.356,0.377,0.363,0.373,0.396,0.401,0.374,0.39,0.391,0.298,0.355,0.379,0.332,0.372,0.363,0.284,0.17,0.34,0.341,0.381,0.376,0.396,0.362,0.106,0.375,0.328,0.361,0.391,0.356,0.411,0.366,0.148,0.398,0.405,0.413,0.419,0.404,0.408,0.376,0.336,0.085,0.438,0.257,0.428,0.431,0.302,0.402,0.415
2.75,0.404,0.227,0.344,0.414,0.418,0.304,0.158,0.412,0.183,0.414,0.168,0.344,0.302,0.4,0.157,0.19,0.335,0.41,0.405,0.403,0.401,0.409,0.197,0.246,0.389,0.394,0.387,0.405,0.384,0.408,0.398,0.393,0.42,0.391,0.394,0.384,0.359,0.373,0.394,0.385,0.407,0.383,0.388,0.4,0.399,0.377,0.388,0.337,0.37,0.407,0.401,0.39,0.401,0.398,0.386,0.401,0.404,0.343,0.385,0.395,0.361,0.395,0.388,0.326,0.186,0.38,0.379,0.395,0.393,0.407,0.376,0.105,0.393,0.37,0.38,0.396,0.365,0.415,0.375,0.171,0.406,0.404,0.406,0.428,0.402,0.408,0.386,0.366,0.085,0.441,0.288,0.432,0.436,0.339,0.405,0.425
3,0.408,0.268,0.378,0.415,0.418,0.356,0.177,0.413,0.205,0.418,0.183,0.368,0.335,0.404,0.173,0.2,0.374,0.411,0.408,0.406,0.4,0.422,0.232,0.284,0.384,0.401,0.403,0.401,0.386,0.41,0.401,0.397,0.422,0.399,0.396,0.4,0.39,0.401,0.397,0.391,0.407,0.393,0.388,0.401,0.401,0.379,0.391,0.351,0.376,0.407,0.4,0.393,0.403,0.398,0.388,0.403,0.406,0.374,0.389,0.399,0.364,0.397,0.389,0.357,0.214,0.397,0.392,0.407,0.396,0.416,0.382,0.105,0.404,0.4,0.385,0.399,0.367,0.42,0.378,0.19,0.409,0.406,0.408,0.432,0.404,0.411,0.392,0.384,0.085,0.447,0.333,0.437,0.442,0.363,0.411,0.436
