,b4293,b2572,b4292,b1664,b0591,b1544,b1922,b4557,b4167,b3995,b2000,b3399,b0488,b0755,b1121,b1742,b0092,b1043,b1044,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0,0.137,0.165,0.157,0.136,0.143,0.158,0.141,0.146,0.127,0.143,0.147,0.161,0.162,0.081,0.157,0.148,0.105,0.177,0.082,0.082,0.084,0.081,0.125,0.094,0.08,0.085,0.082,0.082,0.085,0.082,0.085,0.089,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
0.25,0.143,0.17,0.167,0.142,0.15,0.165,0.147,0.155,0.136,0.153,0.15,0.191,0.172,0.081,0.166,0.15,0.105,0.189,0.154,0.082,0.086,0.082,0.128,0.094,0.08,0.085,0.082,0.082,0.084,0.082,0.085,0.091,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
0.5,0.16,0.187,0.19,0.156,0.165,0.192,0.162,0.175,0.147,0.172,0.167,0.207,0.189,0.081,0.187,0.158,0.109,0.21,0.082,0.083,0.086,0.082,0.135,0.097,0.08,0.085,0.082,0.082,0.083,0.082,0.085,0.089,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0.75,0.187,0.212,0.229,0.176,0.188,0.228,0.187,0.204,0.161,0.202,0.192,0.216,0.22,0.081,0.217,0.173,0.114,0.247,0.081,0.082,0.085,0.082,0.146,0.098,0.08,0.085,0.082,0.081,0.083,0.082,0.085,0.088,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1,0.218,0.244,0.262,0.206,0.221,0.267,0.217,0.23,0.185,0.23,0.218,0.249,0.25,0.081,0.247,0.2,0.121,0.279,0.083,0.082,0.084,0.082,0.164,0.097,0.08,0.085,0.082,0.082,0.084,0.082,0.085,0.088,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1.25,0.25,0.283,0.301,0.234,0.253,0.305,0.244,0.265,0.213,0.276,0.257,0.289,0.299,0.081,0.293,0.231,0.132,0.312,0.082,0.082,0.085,0.086,0.191,0.098,0.08,0.084,0.081,0.081,0.084,0.082,0.085,0.088,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1.5,0.275,0.314,0.328,0.274,0.286,0.341,0.279,0.292,0.253,0.303,0.283,0.311,0.332,0.081,0.333,0.257,0.151,0.345,0.082,0.082,0.106,0.082,0.223,0.099,0.08,0.085,0.082,0.081,0.083,0.082,0.085,0.088,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1.75,0.304,0.344,0.37,0.302,0.316,0.381,0.307,0.316,0.274,0.338,0.313,0.345,0.376,0.081,0.358,0.281,0.177,0.385,0.083,0.082,0.105,0.082,0.26,0.096,0.08,0.085,0.082,0.082,0.084,0.082,0.085,0.09,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
2,0.337,0.38,0.429,0.335,0.352,0.433,0.339,0.348,0.303,0.398,0.351,0.385,0.437,0.081,0.407,0.303,0.207,0.438,0.082,0.083,0.106,0.082,0.289,0.1,0.08,0.085,0.082,0.081,0.083,0.082,0.085,0.088,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
2.25,0.376,0.43,0.468,0.379,0.401,0.467,0.384,0.377,0.352,0.428,0.399,0.434,0.476,0.081,0.453,0.337,0.231,0.475,0.082,0.082,0.103,0.082,0.325,0.096,0.08,0.085,0.082,0.082,0.085,0.082,0.085,0.089,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
