,b1638,b2311,b3731,b3732,b4094,#N/A,b3735,#N/A,b3737,b3738,b3067,b3058,b3437,#N/A,b3809,b0887,b1054,b3733,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0,0.083,0.084,0.085,0.125,0.112,0.109,0.113,0.082,0.096,0.098,0.101,0.096,0.134,0.11,0.125,0.083,0.122,0.083,0.081,0.097,0.082,0.082,0.081,0.083,0.084,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
0.25,0.083,0.084,0.086,0.133,0.119,0.119,0.119,0.082,0.098,0.103,0.103,0.102,0.153,0.12,0.14,0.083,0.134,0.083,0.081,0.101,0.082,0.082,0.081,0.083,0.085,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.082,0.085,0.081,0.08,0.081,0.089,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
0.5,0.084,0.084,0.087,0.154,0.13,0.135,0.133,0.082,0.102,0.112,0.11,0.112,0.191,0.141,0.167,0.083,0.155,0.083,0.081,0.11,0.082,0.082,0.081,0.083,0.085,0.083,0.08,0.081,0.083,0.082,0.081,0.083,0.082,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
0.75,0.084,0.084,0.09,0.184,0.146,0.157,0.157,0.082,0.108,0.124,0.122,0.127,0.232,0.171,0.206,0.083,0.186,0.083,0.081,0.124,0.082,0.082,0.081,0.083,0.086,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.082,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
1,0.085,0.084,0.092,0.216,0.167,0.176,0.19,0.082,0.117,0.142,0.138,0.15,0.289,0.21,0.241,0.083,0.223,0.083,0.081,0.144,0.082,0.082,0.081,0.083,0.086,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.082,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
1.25,0.086,0.084,0.096,0.243,0.183,0.197,0.221,0.082,0.129,0.163,0.157,0.169,0.328,0.26,0.294,0.083,0.262,0.083,0.081,0.166,0.082,0.082,0.081,0.083,0.087,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
1.5,0.087,0.084,0.102,0.271,0.197,0.212,0.269,0.082,0.143,0.177,0.169,0.186,0.375,0.298,0.326,0.083,0.303,0.083,0.081,0.187,0.082,0.082,0.081,0.083,0.088,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
1.75,0.088,0.084,0.109,0.302,0.213,0.232,0.297,0.082,0.162,0.193,0.182,0.203,0.409,0.346,0.375,0.083,0.353,0.083,0.081,0.202,0.082,0.082,0.081,0.083,0.089,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.082,0.085,0.081,0.08,0.081,0.087,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
2,0.09,0.084,0.119,0.344,0.229,0.255,0.34,0.082,0.177,0.204,0.189,0.206,0.444,0.39,0.415,0.083,0.431,0.083,0.081,0.208,0.082,0.082,0.081,0.083,0.09,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.087,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
2.25,0.093,0.084,0.132,0.387,0.245,0.258,0.397,0.082,0.188,0.207,0.198,0.208,0.481,0.43,0.456,0.083,0.487,0.083,0.081,0.212,0.082,0.082,0.081,0.083,0.093,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.085,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
