,b3405,b0149,b1733,b0926,b0187,b2516,b0014,b1855,b3609,b3176,b4042,b0214,b0222,b2525,b2594,b2820,b3177,b2697,b3299,b0416,b0053,b0737,b3052,b0740,b2608,b3233,b3472,b3613,b2894,b3019,b3621,b2822,b3167,b3164,b3961,b3984,b3165,b3736,b2827,b1237,b0659,b2232,b4025,b0161,b2512,b1203,b3631,b0677,b3935,b3734,#N/A,#N/A,b1105,b4362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0,0.085,0.17,0.172,0.148,0.09,0.085,0.082,0.125,0.158,0.147,0.084,0.139,0.142,0.086,0.084,0.086,0.085,0.086,0.083,0.085,0.083,0.134,0.126,0.084,0.12,0.087,0.083,0.084,0.083,0.131,0.115,0.083,0.085,0.087,0.113,0.106,0.083,0.106,0.084,0.084,0.084,0.087,0.085,0.082,0.082,0.084,0.145,0.084,0.085,0.106,0.083,0.084,0.087,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0.25,0.084,0.173,0.185,0.158,0.091,0.085,0.082,0.139,0.165,0.157,0.083,0.151,0.144,0.086,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.142,0.13,0.084,0.126,0.087,0.083,0.084,0.083,0.135,0.122,0.083,0.085,0.087,0.118,0.107,0.083,0.11,0.084,0.084,0.084,0.088,0.085,0.082,0.082,0.084,0.159,0.084,0.085,0.112,0.083,0.084,0.087,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
0.5,0.084,0.192,0.206,0.182,0.09,0.085,0.082,0.164,0.179,0.18,0.083,0.172,0.153,0.086,0.084,0.086,0.084,0.086,0.082,0.085,0.083,0.153,0.141,0.084,0.137,0.087,0.083,0.084,0.083,0.148,0.141,0.083,0.085,0.087,0.13,0.112,0.083,0.118,0.084,0.083,0.084,0.088,0.085,0.081,0.082,0.083,0.172,0.084,0.085,0.123,0.082,0.084,0.087,0.083,0.082,0.084,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
0.75,0.084,0.224,0.245,0.213,0.091,0.094,0.082,0.2,0.199,0.214,0.083,0.21,0.168,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.176,0.157,0.084,0.152,0.087,0.083,0.084,0.083,0.171,0.163,0.083,0.085,0.088,0.151,0.119,0.083,0.129,0.084,0.083,0.084,0.088,0.085,0.081,0.082,0.083,0.195,0.084,0.085,0.143,0.082,0.084,0.088,0.083,0.082,0.084,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1,0.084,0.252,0.267,0.248,0.09,0.085,0.082,0.241,0.222,0.249,0.083,0.25,0.19,0.086,0.085,0.086,0.084,0.086,0.082,0.083,0.083,0.213,0.178,0.084,0.176,0.087,0.083,0.084,0.083,0.2,0.192,0.083,0.085,0.088,0.18,0.131,0.083,0.14,0.084,0.084,0.084,0.089,0.085,0.082,0.082,0.083,0.218,0.084,0.085,0.166,0.083,0.084,0.087,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
1.25,0.084,0.3,0.223,0.299,0.09,0.085,0.082,0.279,0.232,0.288,0.083,0.27,0.219,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.252,0.205,0.084,0.203,0.087,0.083,0.084,0.083,0.228,0.214,0.083,0.085,0.088,0.211,0.151,0.083,0.117,0.084,0.084,0.084,0.089,0.085,0.081,0.082,0.083,0.26,0.084,0.085,0.185,0.082,0.084,0.088,0.083,0.082,0.085,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1.5,0.085,0.326,0.161,0.331,0.091,0.086,0.082,0.305,0.254,0.352,0.084,0.295,0.253,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.265,0.245,0.084,0.244,0.087,0.083,0.085,0.083,0.275,0.263,0.083,0.085,0.088,0.247,0.178,0.082,0.096,0.084,0.084,0.084,0.09,0.085,0.081,0.082,0.083,0.308,0.084,0.085,0.204,0.082,0.084,0.087,0.084,0.082,0.085,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
1.75,0.084,0.347,0.154,0.367,0.091,0.086,0.082,0.348,0.273,0.435,0.083,0.321,0.305,0.085,0.085,0.086,0.084,0.086,0.082,0.085,0.083,0.277,0.294,0.084,0.304,0.087,0.083,0.084,0.083,0.307,0.295,0.083,0.085,0.088,0.27,0.204,0.083,0.095,0.084,0.084,0.084,0.091,0.085,0.082,0.082,0.083,0.34,0.084,0.085,0.215,0.082,0.084,0.088,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
2,0.085,0.372,0.151,0.401,0.099,0.085,0.082,0.398,0.292,0.523,0.083,0.357,0.372,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.3,0.366,0.084,0.335,0.087,0.083,0.084,0.083,0.345,0.331,0.083,0.085,0.088,0.31,0.24,0.082,0.094,0.084,0.084,0.084,0.092,0.085,0.081,0.082,0.083,0.392,0.084,0.085,0.221,0.082,0.084,0.088,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
2.25,0.085,0.408,0.148,0.433,0.091,0.087,0.082,0.431,0.316,0.546,0.083,0.399,0.459,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.328,0.447,0.084,0.378,0.087,0.083,0.084,0.083,0.4,0.371,0.083,0.085,0.088,0.342,0.259,0.083,0.094,0.084,0.084,0.084,0.093,0.085,0.081,0.082,0.083,0.449,0.084,0.085,0.226,0.083,0.084,0.088,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
